datetime	speed	x	y	z	d	speed_real
2014-01-05_19:36:29_603435	0.2	20.0	147.0	-226.0	0.0	220
2014-01-05_19:36:29_707200	0.4	20.0	147.0	-226.0	0.0	221
2014-01-05_19:36:29_810641	0.6	20.0	147.0	-226.0	0.0	222
2014-01-05_19:36:29_913995	0.8	20.0	139.0	-213.0	0.0	223
2014-01-05_19:36:30_017498	1.0	20.0	139.0	-213.0	0.0	223
2014-01-05_19:36:30_120931	1.2	20.0	139.0	-213.0	0.0	224
2014-01-05_19:36:30_224330	1.4	38.0	122.0	-247.0	0.0	225
2014-01-05_19:36:30_327769	1.6	38.0	122.0	-247.0	0.0	226
2014-01-05_19:36:30_431200	1.8	38.0	122.0	-247.0	0.0	226
2014-01-05_19:36:30_534609	2.0	30.0	159.0	-228.0	0.0	227
2014-01-05_19:36:30_638201	2.2	30.0	159.0	-228.0	0.0	228
2014-01-05_19:36:30_741545	2.4	30.0	159.0	-228.0	0.0	229
2014-01-05_19:36:30_844934	2.6	38.0	152.0	-250.0	0.0	229
2014-01-05_19:36:30_948337	2.8	38.0	152.0	-250.0	0.0	230
2014-01-05_19:36:31_051732	3.0	38.0	152.0	-250.0	0.0	231
2014-01-05_19:36:31_155122	3.2	27.0	164.0	-224.0	0.0	232
2014-01-05_19:36:31_258488	3.4	27.0	164.0	-224.0	0.0	232
2014-01-05_19:36:31_361881	3.6	27.0	164.0	-224.0	0.0	233
2014-01-05_19:36:31_465244	3.8	55.0	168.0	-244.0	0.0	234
2014-01-05_19:36:31_568710	4.0	55.0	168.0	-244.0	0.0	235
2014-01-05_19:36:31_672165	4.2	55.0	168.0	-244.0	0.0	235
2014-01-05_19:36:31_775552	4.4	51.0	123.0	-251.0	0.0	236
2014-01-05_19:36:31_879021	4.6	51.0	123.0	-251.0	0.0	237
2014-01-05_19:36:31_982420	4.8	51.0	123.0	-251.0	0.0	238
2014-01-05_19:36:32_085806	5.0	19.0	140.0	-211.0	0.0	239
2014-01-05_19:36:32_189206	5.2	19.0	140.0	-211.0	0.0	239
2014-01-05_19:36:32_292611	5.4	19.0	140.0	-211.0	0.0	240
2014-01-05_19:36:32_395997	5.6	-28.0	103.0	-231.0	0.0	241
2014-01-05_19:36:32_499475	5.8	-28.0	103.0	-231.0	0.0	242
2014-01-05_19:36:32_602894	6.0	-28.0	103.0	-231.0	0.0	242
2014-01-05_19:36:32_706279	6.2	25.0	107.0	-156.0	0.0	243
2014-01-05_19:36:32_809822	6.4	25.0	107.0	-156.0	0.0	244
2014-01-05_19:36:32_913178	6.6	25.0	107.0	-156.0	0.0	245
2014-01-05_19:36:33_016591	6.8	25.0	107.0	-156.0	0.0	245
2014-01-05_19:36:33_120043	7.0	-7.0	176.0	-198.0	0.0	246
2014-01-05_19:36:33_223473	7.2	-7.0	176.0	-198.0	0.0	247
2014-01-05_19:36:33_326889	7.4	-7.0	176.0	-198.0	0.0	248
2014-01-05_19:36:33_430293	7.6	38.0	127.0	-263.0	0.0	248
2014-01-05_19:36:33_533721	7.8	38.0	127.0	-263.0	0.0	249
2014-01-05_19:36:33_637135	8.0	38.0	127.0	-263.0	0.0	250
2014-01-05_19:36:33_740487	8.2	-14.0	190.0	-296.0	0.0	251
2014-01-05_19:36:33_843885	8.4	-14.0	190.0	-296.0	0.0	251
2014-01-05_19:36:33_947285	8.6	-14.0	190.0	-296.0	0.0	252
2014-01-05_19:36:34_050697	8.8	-43.0	122.0	-157.0	0.0	253
2014-01-05_19:36:34_154155	9.0	-43.0	122.0	-157.0	0.0	254
2014-01-05_19:36:34_257536	9.2	-43.0	122.0	-157.0	0.0	254
2014-01-05_19:36:34_360968	9.4	88.0	163.0	-250.0	0.0	255
2014-01-05_19:36:34_464326	9.6	88.0	163.0	-250.0	0.0	256
2014-01-05_19:36:34_567756	9.8	88.0	163.0	-250.0	0.0	257
2014-01-05_19:36:34_671204	10.0	17.0	122.0	-190.0	0.0	258
2014-01-05_19:36:34_774872	10.2	17.0	122.0	-190.0	0.0	258
2014-01-05_19:36:34_879162	10.4	17.0	122.0	-190.0	0.0	259
2014-01-05_19:36:34_982553	10.6	110.0	158.0	-249.0	0.0	260
2014-01-05_19:36:35_085944	10.8	110.0	158.0	-249.0	0.0	261
2014-01-05_19:36:35_189409	11.0	110.0	158.0	-249.0	0.0	261
2014-01-05_19:36:35_292796	11.2	-1.0	110.0	-195.0	0.0	262
2014-01-05_19:36:35_396171	11.4	-1.0	110.0	-195.0	0.0	263
2014-01-05_19:36:35_499654	11.6	-1.0	110.0	-195.0	0.0	264
2014-01-05_19:36:35_603089	11.8	109.0	138.0	-225.0	0.0	264
2014-01-05_19:36:35_706523	12.0	109.0	138.0	-225.0	0.0	265
2014-01-05_19:36:35_810017	12.2	109.0	138.0	-225.0	0.0	266
2014-01-05_19:36:35_913406	12.4	26.0	163.0	-186.0	0.0	267
2014-01-05_19:36:36_016838	12.6	26.0	163.0	-186.0	0.0	267
2014-01-05_19:36:36_120217	12.8	26.0	163.0	-186.0	0.0	268
2014-01-05_19:36:36_223695	13.0	35.0	130.0	-282.0	0.0	269
2014-01-05_19:36:36_327142	13.2	35.0	130.0	-282.0	0.0	270
2014-01-05_19:36:36_430596	13.4	35.0	130.0	-282.0	0.0	270
2014-01-05_19:36:36_534002	13.6	-263.0	146.0	-291.0	0.0	271
2014-01-05_19:36:36_637409	13.8	-263.0	146.0	-291.0	0.0	272
2014-01-05_19:36:36_740774	14.0	-263.0	146.0	-291.0	0.0	273
2014-01-05_19:36:36_844169	14.2	135.0	181.0	-293.0	0.0	273
2014-01-05_19:36:36_947574	14.4	135.0	181.0	-293.0	0.0	274
2014-01-05_19:36:37_050953	14.6	135.0	181.0	-293.0	0.0	275
2014-01-05_19:36:37_154397	14.8	-22.0	163.0	-243.0	0.0	276
2014-01-05_19:36:37_257788	15.0	-22.0	163.0	-243.0	0.0	276
2014-01-05_19:36:37_361241	15.2	-22.0	163.0	-243.0	0.0	277
2014-01-05_19:36:37_464603	15.4	73.0	191.0	-338.0	0.0	278
2014-01-05_19:36:37_568079	15.6	73.0	191.0	-338.0	0.0	279
2014-01-05_19:36:37_671584	15.8	73.0	191.0	-338.0	0.0	280
2014-01-05_19:36:37_774976	16.0	84.0	131.0	-142.0	0.0	280
2014-01-05_19:36:37_878395	16.2	84.0	131.0	-142.0	0.0	281
2014-01-05_19:36:37_981778	16.4	84.0	131.0	-142.0	0.0	282
2014-01-05_19:36:38_085178	16.6	-88.0	100.0	-54.0	0.0	283
2014-01-05_19:36:38_188576	16.8	-88.0	100.0	-54.0	0.0	283
2014-01-05_19:36:38_291991	17.0	-88.0	100.0	-54.0	0.0	284
2014-01-05_19:36:38_395429	17.2	53.0	188.0	-117.0	0.0	285
2014-01-05_19:36:38_498845	17.4	53.0	188.0	-117.0	0.0	286
2014-01-05_19:36:38_602314	17.6	53.0	188.0	-117.0	0.0	286
2014-01-05_19:36:38_707283	17.8	74.0	92.0	-417.0	0.0	287
2014-01-05_19:36:38_811101	18.0	74.0	92.0	-417.0	0.0	288
2014-01-05_19:36:38_914481	18.2	74.0	92.0	-417.0	0.0	289
2014-01-05_19:36:39_017936	18.4	-512.0	-46.0	-81.0	0.0	289
2014-01-05_19:36:39_121367	18.6	-512.0	-46.0	-81.0	0.0	290
2014-01-05_19:36:39_224780	18.8	-512.0	-46.0	-81.0	0.0	291
