datetime	x	y	z	d	speed	speed_real
2013-12-28_12:40:47_196369	24.0	161.0	-220.0	15.3	0.1	220
2013-12-28_12:40:47_206463	25.0	161.0	-222.0	14.94	0.2	220
2013-12-28_12:40:47_216401	25.0	159.0	-223.0	15.18	0.3	221
2013-12-28_12:40:47_226290	29.0	162.0	-222.0	14.74	0.4	221
2013-12-28_12:40:47_236168	104.0	150.0	-229.0	15.13	0.5	221
2013-12-28_12:40:47_246082	38.0	154.0	-218.0	15.01	0.6	222
2013-12-28_12:40:47_256018	59.0	164.0	-221.0	15.28	0.7	222
2013-12-28_12:40:47_265905	78.0	157.0	-226.0	14.6	0.8	223
2013-12-28_12:40:47_275826	25.0	162.0	-222.0	15.18	0.9	223
2013-12-28_12:40:47_285704	6.0	164.0	-229.0	15.03	1.0	223
2013-12-28_12:40:47_295563	31.0	170.0	-221.0	14.6	1.1	224
2013-12-28_12:40:47_305602	-25.0	146.0	-211.0	15.32	1.2	224
2013-12-28_12:40:47_315501	43.0	154.0	-236.0	15.27	1.3	224
2013-12-28_12:40:47_325419	54.0	163.0	-234.0	15.39	1.4	225
2013-12-28_12:40:47_335367	72.0	160.0	-195.0	15.0	1.5	225
2013-12-28_12:40:47_345442	-16.0	179.0	-223.0	15.28	1.6	226
2013-12-28_12:40:47_355299	27.0	161.0	-235.0	14.7	1.7	226
2013-12-28_12:40:47_365184	19.0	159.0	-218.0	14.81	1.8	226
2013-12-28_12:40:47_375103	-7.0	151.0	-217.0	15.15	1.9	227
2013-12-28_12:40:47_385009	44.0	171.0	-221.0	14.98	2.0	227
2013-12-28_12:40:47_394997	-18.0	163.0	-216.0	15.49	2.1	227
2013-12-28_12:40:47_404916	2.0	156.0	-228.0	15.26	2.2	228
2013-12-28_12:40:47_414846	10.0	154.0	-218.0	15.51	2.3	228
2013-12-28_12:40:47_424825	10.0	157.0	-214.0	15.09	2.4	229
2013-12-28_12:40:47_434733	47.0	167.0	-219.0	15.43	2.5	229
2013-12-28_12:40:47_448968	-11.0	169.0	-213.0	15.2	2.6	229
2013-12-28_12:40:47_459312	53.0	157.0	-223.0	15.07	2.7	230
2013-12-28_12:40:47_469366	-6.0	146.0	-210.0	15.32	2.8	230
2013-12-28_12:40:47_479335	-13.0	153.0	-216.0	14.6	2.9	231
2013-12-28_12:40:47_489433	-42.0	165.0	-221.0	15.05	3.0	231
2013-12-28_12:40:47_499358	-5.0	165.0	-208.0	14.58	3.1	231
2013-12-28_12:40:47_509255	70.0	161.0	-256.0	15.06	3.2	232
2013-12-28_12:40:47_520235	53.0	147.0	-215.0	33.07	3.3	232
2013-12-28_12:40:47_530127	14.0	150.0	-198.0	14.52	3.4	232
2013-12-28_12:40:47_540102	11.0	164.0	-206.0	15.09	3.5	233
2013-12-28_12:40:47_549958	30.0	163.0	-280.0	14.55	3.6	233
2013-12-28_12:40:47_559838	18.0	166.0	-231.0	14.81	3.7	234
2013-12-28_12:40:47_569842	55.0	174.0	-172.0	16.59	3.8	234
2013-12-28_12:40:47_579649	-23.0	151.0	-211.0	14.36	3.9	234
2013-12-28_12:40:47_589586	27.0	161.0	-236.0	15.56	4.0	235
2013-12-28_12:40:47_599534	106.0	168.0	-223.0	15.5	4.1	235
2013-12-28_12:40:47_609580	48.0	163.0	-212.0	15.05	4.2	235
2013-12-28_12:40:47_619466	43.0	132.0	-226.0	15.17	4.3	236
2013-12-28_12:40:47_630297	-113.0	173.0	-211.0	14.81	4.4	236
2013-12-28_12:40:47_640109	306.0	156.0	-253.0	13.91	4.5	237
2013-12-28_12:40:47_650022	-112.0	177.0	-212.0	14.75	4.6	237
2013-12-28_12:40:47_659962	-65.0	134.0	-180.0	14.45	4.7	237
2013-12-28_12:40:47_669861	211.0	174.0	-248.0	15.15	4.8	238
2013-12-28_12:40:47_679801	23.0	191.0	-220.0	14.77	4.9	238
2013-12-28_12:40:47_689737	134.0	191.0	-197.0	15.4	5.0	239
