datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-02-01_21:53:49_281386	301539.90625	18.0	60.0	156.0	-219.0	0.0	0	0	0	0	0
2014-02-01_21:53:49_310854	304471.203125	19.44	61.0	155.0	-220.0	0.0	8.093656779748555	228.01546308240356	0.28729314750331547	28.172119140625	1.439555257825376
2014-02-01_21:53:49_338915	307275.109375	20.69	60.0	157.0	-218.0	0.0	15.053495371785742	648.8628284433794	0.24894987270204885	27.956787109375	1.2527433413318565
2014-02-01_21:53:49_366944	310077.6875	21.95	58.0	158.0	-216.0	0.0	22.002747764689992	1263.140224716718	0.24891465725722817	27.918212890625	1.259404963309777
2014-02-01_21:53:49_394958	312878.890625	23.03	61.0	157.0	-219.0	0.0	27.918346772460502	2042.3660933856638	0.21194592108174215	27.910888671875	1.0829451010198132
2014-02-01_21:53:49_423003	315684.203125	24.07	62.0	156.0	-220.0	0.0	33.51149625560465	2978.3726190503244	0.20024946709460617	27.930908203125	1.0343822112890946
2014-02-01_21:53:49_451064	318489.5	24.99	59.0	157.0	-218.0	0.0	38.407365389522774	4051.8097223368936	0.17517322081560338	27.94873046875	0.9202249378403381
2014-02-01_21:53:49_479104	321293.0	25.0	59.0	159.0	-217.0	0.0	42.763052960122295	5246.481634013357	0.1559110048866175	27.93701171875	0.8362961460692332
2014-02-01_21:53:49_507112	324093.984375	25.0	62.0	158.0	-220.0	0.0	46.621517757425664	6546.898724781395	0.13833060664993088	27.89306640625	0.7617841722732109
2014-02-01_21:53:49_535140	326897.28125	25.0	59.0	158.0	-219.0	0.0	49.52752863133494	7929.860646693423	0.10407194477308794	27.923095703125	0.6046110831955075
2014-02-01_21:53:49_563167	329699.40625	25.0	61.0	155.0	-220.0	0.0	52.13938885236913	9385.282805830258	0.09356790044566934	27.9140625	0.5669062691718862
2014-02-01_21:53:49_591034	332486.390625	25.0	60.0	158.0	-219.0	0.0	54.758939779199075	10905.244451156494	0.09437332309792472	27.75732421875	0.5863949539791085
2014-02-01_21:53:49_619172	335302.5	25.0	60.0	157.0	-219.0	0.0	57.04560262762269	12503.705132401645	0.08160604869736904	28.020751953125	0.5387718550736239
2014-02-01_21:53:49_647249	338107.890625	25.0	58.0	155.0	-217.0	0.0	59.138051593411596	14157.91020691628	0.07480532903800503	27.971923828125	0.5215195524185291
2014-02-01_21:53:49_675290	340912.984375	25.0	59.0	157.0	-218.0	0.0	61.15257152294132	15865.598752659822	0.07214024734312305	27.925048828125	0.5254724813945076
2014-02-01_21:53:49_703379	343721.296875	25.0	61.0	157.0	-219.0	0.0	62.980345537997394	17627.664582240737	0.06532890945452512	27.97802734375	0.5092192276488328
2014-02-01_21:53:49_731452	346528.296875	25.0	61.0	157.0	-219.0	0.0	64.78945692746031	19439.42835091049	0.06469460669844676	27.9638671875	0.5243462626940847
2014-02-01_21:53:49_759494	349332.6875	25.0	60.0	157.0	-219.0	0.0	66.24171406833356	21289.959203933715	0.05198508423799541	27.93603515625	0.47944918463614755
2014-02-01_21:53:49_787552	352138.09375	25.0	61.0	161.0	-219.0	0.0	66.52108281202594	23149.041574944025	0.009996281834544351	27.947265625	0.2881239332033646
2014-02-01_21:53:49_815623	354944.890625	25.0	61.0	157.0	-217.0	0.0	67.15961155475065	25026.969258098386	0.022835459912867367	27.962158203125	0.37116295330079574
