datetime	x	y	z	d	speed	speed_real
2014-01-04_16:45:12_470503	-60.0	240.0	-94.0	0.0	0.1	220
2014-01-04_16:45:12_479888	166.0	256.0	-192.0	0.0	0.2	220
2014-01-04_16:45:12_488433	102.0	186.0	-146.0	0.0	0.3	221
2014-01-04_16:45:12_496743	150.0	48.0	-284.0	0.0	0.4	221
2014-01-04_16:45:12_504978	22.0	168.0	-312.0	0.0	0.5	221
2014-01-04_16:45:12_513283	54.0	164.0	-192.0	0.0	0.6	222
2014-01-04_16:45:12_521541	224.0	80.0	-308.0	0.0	0.7	222
2014-01-04_16:45:12_530180	-42.0	104.0	-204.0	0.0	0.8	223
2014-01-04_16:45:12_538458	-40.0	214.0	-168.0	0.0	0.9	223
2014-01-04_16:45:12_546706	144.0	296.0	-224.0	0.0	1.0	223
2014-01-04_16:45:12_554948	110.0	46.0	-336.0	0.0	1.1	224
2014-01-04_16:45:12_563190	-108.0	162.0	-256.0	0.0	1.2	224
2014-01-04_16:45:12_571382	-102.0	270.0	-192.0	0.0	1.3	224
2014-01-04_16:45:12_579984	-52.0	186.0	-208.0	0.0	1.4	225
2014-01-04_16:45:12_588201	-126.0	154.0	-122.0	0.0	1.5	225
2014-01-04_16:45:12_596395	-110.0	194.0	-230.0	0.0	1.6	226
2014-01-04_16:45:12_605686	-14.0	30.0	-218.0	0.0	1.7	226
2014-01-04_16:45:12_614537	-132.0	152.0	-174.0	0.0	1.8	226
2014-01-04_16:45:12_622748	376.0	128.0	-198.0	0.0	1.9	227
2014-01-04_16:45:12_631671	-40.0	88.0	-192.0	0.0	2.0	227
2014-01-04_16:45:12_640630	-8.0	140.0	-350.0	0.0	2.1	227
2014-01-04_16:45:12_648928	102.0	-104.0	-304.0	0.0	2.2	228
2014-01-04_16:45:12_657247	230.0	-36.0	-314.0	0.0	2.3	228
2014-01-04_16:45:12_665526	92.0	146.0	-354.0	0.0	2.4	229
2014-01-04_16:45:12_673736	184.0	18.0	-306.0	0.0	2.5	229
2014-01-04_16:45:12_681967	-342.0	310.0	-136.0	0.0	2.6	229
2014-01-04_16:45:12_690247	-298.0	262.0	-284.0	0.0	2.7	230
2014-01-04_16:45:12_698521	-268.0	156.0	-82.0	0.0	2.8	230
2014-01-04_16:45:12_706744	-8.0	66.0	-164.0	0.0	2.9	231
2014-01-04_16:45:12_714976	-76.0	226.0	-366.0	0.0	3.0	231
2014-01-04_16:45:12_723214	230.0	312.0	-244.0	0.0	3.1	231
2014-01-04_16:45:12_731496	152.0	108.0	-230.0	0.0	3.2	232
2014-01-04_16:45:12_739847	-244.0	192.0	-320.0	0.0	3.3	232
2014-01-04_16:45:12_748112	142.0	170.0	-32.0	0.0	3.4	232
2014-01-04_16:45:12_756301	192.0	80.0	-228.0	0.0	3.5	233
2014-01-04_16:45:12_764532	178.0	204.0	-130.0	0.0	3.6	233
2014-01-04_16:45:12_772798	-64.0	256.0	-370.0	0.0	3.7	234
