datetime	x	y	z	d	speed	speed_real
2014-01-04_13:52:21_407420	-192.0	-416.0	511.0	16.24	0.1	220
2014-01-04_13:52:21_417333	-83.0	176.0	-151.0	15.42	0.2	220
2014-01-04_13:52:21_427191	-117.0	145.0	-123.0	15.27	0.3	221
2014-01-04_13:52:21_437047	10.0	189.0	-94.0	15.34	0.4	221
2014-01-04_13:52:21_446812	57.0	197.0	-153.0	15.1	0.5	221
2014-01-04_13:52:21_456713	96.0	144.0	-296.0	16.71	0.6	222
2014-01-04_13:52:21_466695	104.0	151.0	-484.0	15.11	0.7	222
2014-01-04_13:52:21_476519	123.0	285.0	-512.0	15.05	0.8	223
2014-01-04_13:52:21_486422	110.0	171.0	-349.0	15.39	0.9	223
2014-01-04_13:52:21_496652	1.0	142.0	-29.0	15.86	1.0	223
2014-01-04_13:52:21_507450	-23.0	31.0	90.0	15.47	1.1	224
2014-01-04_13:52:21_517441	22.0	101.0	-252.0	16.32	1.2	224
2014-01-04_13:52:21_527245	82.0	205.0	-470.0	15.88	1.3	224
2014-01-04_13:52:21_537106	47.0	172.0	-227.0	15.5	1.4	225
2014-01-04_13:52:21_547003	36.0	84.0	85.0	15.43	1.5	225
2014-01-04_13:52:21_556832	72.0	172.0	-278.0	15.56	1.6	226
2014-01-04_13:52:21_566679	-25.0	221.0	-404.0	15.52	1.7	226
2014-01-04_13:52:21_576507	36.0	132.0	-107.0	15.06	1.8	226
2014-01-04_13:52:21_587014	19.0	164.0	-201.0	16.74	1.9	227
2014-01-04_13:52:21_596962	-19.0	175.0	-227.0	16.57	2.0	227
2014-01-04_13:52:21_606892	57.0	133.0	-205.0	16.76	2.1	227
2014-01-04_13:52:21_616774	46.0	177.0	-300.0	15.86	2.2	228
2014-01-04_13:52:21_626793	3.0	146.0	-184.0	15.6	2.3	228
2014-01-04_13:52:21_636671	38.0	169.0	-193.0	15.5	2.4	229
2014-01-04_13:52:21_646505	12.0	176.0	-225.0	15.37	2.5	229
2014-01-04_13:52:21_656358	50.0	134.0	-189.0	15.56	2.6	229
2014-01-04_13:52:21_666296	15.0	180.0	-275.0	15.39	2.7	230
2014-01-04_13:52:21_676231	34.0	148.0	-184.0	16.71	2.8	230
2014-01-04_13:52:21_686778	32.0	175.0	-237.0	15.96	2.9	231
2014-01-04_13:52:21_696707	58.0	133.0	-219.0	16.84	3.0	231
2014-01-04_13:52:21_706726	21.0	177.0	-246.0	16.22	3.1	231
2014-01-04_13:52:21_716594	53.0	147.0	-190.0	15.47	3.2	232
2014-01-04_13:52:21_726391	19.0	188.0	-262.0	15.56	3.3	232
2014-01-04_13:52:21_736232	-9.0	134.0	-170.0	15.01	3.4	232
2014-01-04_13:52:21_746099	5.0	178.0	-236.0	15.3	3.5	233
2014-01-04_13:52:21_756015	9.0	152.0	-227.0	16.25	3.6	233
2014-01-04_13:52:21_765871	40.0	174.0	-216.0	15.49	3.7	234
2014-01-04_13:52:21_775731	12.0	178.0	-213.0	15.1	3.8	234
2014-01-04_13:52:21_785614	56.0	145.0	-228.0	15.05	3.9	234
2014-01-04_13:52:21_796131	23.0	159.0	-239.0	15.54	4.0	235
2014-01-04_13:52:21_805976	50.0	131.0	-185.0	15.06	4.1	235
2014-01-04_13:52:21_815844	30.0	192.0	-266.0	15.37	4.2	235
2014-01-04_13:52:21_825727	28.0	144.0	-175.0	15.47	4.3	236
2014-01-04_13:52:21_835606	13.0	171.0	-230.0	15.4	4.4	236
2014-01-04_13:52:21_845537	32.0	141.0	-228.0	15.45	4.5	237
2014-01-04_13:52:21_855364	29.0	158.0	-213.0	15.13	4.6	237
2014-01-04_13:52:21_865252	-6.0	198.0	-226.0	15.47	4.7	237
2014-01-04_13:52:21_875130	88.0	140.0	-219.0	14.93	4.8	238
2014-01-04_13:52:21_885005	48.0	162.0	-238.0	15.4	4.9	238
2014-01-04_13:52:21_895101	-8.0	119.0	-170.0	16.05	5.0	239
2014-01-04_13:52:21_905018	90.0	167.0	-268.0	15.98	5.1	239
2014-01-04_13:52:21_914985	11.0	157.0	-204.0	15.05	5.2	239
2014-01-04_13:52:21_924796	45.0	150.0	-224.0	15.59	5.3	240
2014-01-04_13:52:21_934686	-23.0	177.0	-232.0	15.9	5.4	240
2014-01-04_13:52:21_944485	70.0	131.0	-218.0	15.47	5.5	240
2014-01-04_13:52:21_954364	-34.0	176.0	-254.0	15.52	5.6	241
2014-01-04_13:52:21_964243	-13.0	148.0	-162.0	15.4	5.7	241
2014-01-04_13:52:21_974128	22.0	156.0	-232.0	15.57	5.8	242
2014-01-04_13:52:21_984043	3.0	172.0	-234.0	15.49	5.9	242
2014-01-04_13:52:21_994374	71.0	145.0	-219.0	16.78	6.0	242
2014-01-04_13:52:22_004233	25.0	179.0	-257.0	15.56	6.1	243
2014-01-04_13:52:22_014290	-27.0	162.0	-170.0	15.56	6.2	243
2014-01-04_13:52:22_024168	12.0	159.0	-233.0	15.54	6.3	243
