datetime	speed	x	y	z	d	speed_real
2014-01-05_19:53:07_930339	0.2	29.0	147.0	-227.0	0.0	220
2014-01-05_19:53:08_035599	0.4	29.0	147.0	-227.0	0.0	221
2014-01-05_19:53:08_140678	0.6	29.0	147.0	-227.0	0.0	222
2014-01-05_19:53:08_245566	0.8	22.0	127.0	-221.0	0.0	223
2014-01-05_19:53:08_350786	1.0	22.0	127.0	-221.0	0.0	223
2014-01-05_19:53:08_456463	1.2	22.0	127.0	-221.0	0.0	224
2014-01-05_19:53:08_561905	1.4	24.0	139.0	-248.0	0.0	225
2014-01-05_19:53:08_667328	1.6	24.0	139.0	-248.0	0.0	226
2014-01-05_19:53:08_772271	1.8	24.0	139.0	-248.0	0.0	226
2014-01-05_19:53:08_877813	2.0	36.0	149.0	-214.0	0.0	227
2014-01-05_19:53:08_982822	2.2	36.0	149.0	-214.0	0.0	228
2014-01-05_19:53:09_088556	2.4	36.0	149.0	-214.0	0.0	229
2014-01-05_19:53:09_193819	2.6	42.0	156.0	-229.0	0.0	229
2014-01-05_19:53:09_299326	2.8	42.0	156.0	-229.0	0.0	230
2014-01-05_19:53:09_404251	3.0	42.0	156.0	-229.0	0.0	231
2014-01-05_19:53:09_509746	3.2	20.0	144.0	-229.0	0.0	232
2014-01-05_19:53:09_614793	3.4	20.0	144.0	-229.0	0.0	232
2014-01-05_19:53:09_720206	3.6	20.0	144.0	-229.0	0.0	233
2014-01-05_19:53:09_825955	3.8	59.0	165.0	-216.0	0.0	234
2014-01-05_19:53:09_931061	4.0	59.0	165.0	-216.0	0.0	235
2014-01-05_19:53:10_036075	4.2	59.0	165.0	-216.0	0.0	235
2014-01-05_19:53:10_141429	4.4	-82.0	149.0	-60.0	0.0	236
2014-01-05_19:53:10_246404	4.6	-82.0	149.0	-60.0	0.0	237
2014-01-05_19:53:10_351431	4.8	-82.0	149.0	-60.0	0.0	238
2014-01-05_19:53:10_456454	5.0	21.0	121.0	-209.0	0.0	239
2014-01-05_19:53:10_561504	5.2	21.0	121.0	-209.0	0.0	239
2014-01-05_19:53:10_666483	5.4	21.0	121.0	-209.0	0.0	240
2014-01-05_19:53:10_771740	5.6	80.0	127.0	-263.0	0.0	241
2014-01-05_19:53:10_876751	5.8	80.0	127.0	-263.0	0.0	242
2014-01-05_19:53:10_981421	6.0	80.0	127.0	-263.0	0.0	242
2014-01-05_19:53:11_085624	6.2	165.0	230.0	-253.0	0.0	243
2014-01-05_19:53:11_189753	6.4	165.0	230.0	-253.0	0.0	244
2014-01-05_19:53:11_293940	6.6	165.0	230.0	-253.0	0.0	245
2014-01-05_19:53:11_398155	6.8	60.0	154.0	-255.0	0.0	245
2014-01-05_19:53:11_503100	7.0	60.0	154.0	-255.0	0.0	246
2014-01-05_19:53:11_608360	7.2	60.0	154.0	-255.0	0.0	247
2014-01-05_19:53:11_713478	7.4	50.0	132.0	-243.0	0.0	248
2014-01-05_19:53:11_819277	7.6	50.0	132.0	-243.0	0.0	248
2014-01-05_19:53:11_923667	7.8	50.0	132.0	-243.0	0.0	249
2014-01-05_19:53:12_028754	8.0	50.0	133.0	-238.0	0.0	250
2014-01-05_19:53:12_133984	8.2	50.0	133.0	-238.0	0.0	251
2014-01-05_19:53:12_238698	8.4	50.0	133.0	-238.0	0.0	251
2014-01-05_19:53:12_342879	8.6	113.0	189.0	-256.0	0.0	252
2014-01-05_19:53:12_447969	8.8	113.0	189.0	-256.0	0.0	253
2014-01-05_19:53:12_553382	9.0	113.0	189.0	-256.0	0.0	254
2014-01-05_19:53:12_658809	9.2	29.0	178.0	-279.0	0.0	254
2014-01-05_19:53:12_763899	9.4	29.0	178.0	-279.0	0.0	255
2014-01-05_19:53:12_868958	9.6	29.0	178.0	-279.0	0.0	256
2014-01-05_19:53:12_974278	9.8	-3.0	136.0	-207.0	0.0	257
2014-01-05_19:53:13_079887	10.0	-3.0	136.0	-207.0	0.0	258
2014-01-05_19:53:13_185148	10.2	-3.0	136.0	-207.0	0.0	258
2014-01-05_19:53:13_290147	10.4	26.0	147.0	-167.0	0.0	259
2014-01-05_19:53:13_395739	10.6	26.0	147.0	-167.0	0.0	260
2014-01-05_19:53:13_500748	10.8	26.0	147.0	-167.0	0.0	261
2014-01-05_19:53:13_605729	11.0	211.0	294.0	-298.0	0.0	261
2014-01-05_19:53:13_710845	11.2	211.0	294.0	-298.0	0.0	262
2014-01-05_19:53:13_815826	11.4	211.0	294.0	-298.0	0.0	263
2014-01-05_19:53:13_921775	11.6	-3.0	166.0	-209.0	0.0	264
2014-01-05_19:53:14_026813	11.8	-3.0	166.0	-209.0	0.0	264
2014-01-05_19:53:14_131849	12.0	-3.0	166.0	-209.0	0.0	265
2014-01-05_19:53:14_236945	12.2	23.0	135.0	-182.0	0.0	266
2014-01-05_19:53:14_341805	12.4	23.0	135.0	-182.0	0.0	267
2014-01-05_19:53:14_446812	12.6	23.0	135.0	-182.0	0.0	267
2014-01-05_19:53:14_551826	12.8	14.0	159.0	-201.0	0.0	268
2014-01-05_19:53:14_656870	13.0	14.0	159.0	-201.0	0.0	269
2014-01-05_19:53:14_762265	13.2	58.0	122.0	-254.0	0.0	270
2014-01-05_19:53:14_867670	13.4	58.0	122.0	-254.0	0.0	270
2014-01-05_19:53:14_973022	13.6	58.0	122.0	-254.0	0.0	271
2014-01-05_19:53:15_078366	13.8	81.0	85.0	-416.0	0.0	272
2014-01-05_19:53:15_183615	14.0	81.0	85.0	-416.0	0.0	273
2014-01-05_19:53:15_289456	14.2	81.0	85.0	-416.0	0.0	273
2014-01-05_19:53:15_394445	14.4	15.0	125.0	-280.0	0.0	274
2014-01-05_19:53:15_499765	14.6	15.0	125.0	-280.0	0.0	275
2014-01-05_19:53:15_604859	14.8	15.0	125.0	-280.0	0.0	276
2014-01-05_19:53:15_710098	15.0	45.0	119.0	-218.0	0.0	276
2014-01-05_19:53:15_815230	15.2	45.0	119.0	-218.0	0.0	277
2014-01-05_19:53:15_920871	15.4	45.0	119.0	-218.0	0.0	278
2014-01-05_19:53:16_025855	15.6	23.0	164.0	-267.0	0.0	279
2014-01-05_19:53:16_130916	15.8	23.0	164.0	-267.0	0.0	280
2014-01-05_19:53:16_235599	16.0	23.0	164.0	-267.0	0.0	280
2014-01-05_19:53:16_341103	16.2	42.0	195.0	-200.0	0.0	281
2014-01-05_19:53:16_446774	16.4	42.0	195.0	-200.0	0.0	282
2014-01-05_19:53:16_551801	16.6	42.0	195.0	-200.0	0.0	283
2014-01-05_19:53:16_656911	16.8	107.0	264.0	-267.0	0.0	283
2014-01-05_19:53:16_762600	17.0	107.0	264.0	-267.0	0.0	284
2014-01-05_19:53:16_867611	17.2	107.0	264.0	-267.0	0.0	285
2014-01-05_19:53:16_973332	17.4	30.0	117.0	-136.0	0.0	286
2014-01-05_19:53:17_078496	17.6	30.0	117.0	-136.0	0.0	286
2014-01-05_19:53:17_183487	17.8	30.0	117.0	-136.0	0.0	287
2014-01-05_19:53:17_288593	18.0	-50.0	161.0	-118.0	0.0	288
2014-01-05_19:53:17_394371	18.2	-50.0	161.0	-118.0	0.0	289
2014-01-05_19:53:17_499505	18.4	-50.0	161.0	-118.0	0.0	289
2014-01-05_19:53:17_604826	18.6	112.0	118.0	-290.0	0.0	290
2014-01-05_19:53:17_709944	18.8	112.0	118.0	-290.0	0.0	291
2014-01-05_19:53:17_814868	19.0	112.0	118.0	-290.0	0.0	292
2014-01-05_19:53:17_920249	19.2	73.0	179.0	-100.0	0.0	292
2014-01-05_19:53:18_025410	19.4	73.0	179.0	-100.0	0.0	293
2014-01-05_19:53:18_130613	19.6	73.0	179.0	-100.0	0.0	294
2014-01-05_19:53:18_235624	19.8	-15.0	155.0	-94.0	0.0	295
2014-01-05_19:53:18_340672	20.0	-15.0	155.0	-94.0	0.0	295
