datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-01-12_14:40:34_061819	1217.890625	10.0	13.0	164.0	-218.0	0.0	0	0	0	0	0
2014-01-12_14:40:34_080868	3105.40625	10.05	14.0	161.0	-220.0	0.0	-161.0	2.2147840349141344e+16	1.1703624186998864e-12	-137564225771064.25	-0.048299999999999996
2014-01-12_14:40:34_098602	4879.8125	10.1	11.0	163.0	-219.0	0.0	-163.0	4.45708091501897e+16	1.453866358609741e-14	-137564225773302.78	-0.0489
2014-01-12_14:40:34_116240	6646.609375	10.15	12.0	163.0	-224.0	0.0	-163.0	6.699377795154205e+16	-0.0	-137564225775167.83	-0.0489
2014-01-12_14:40:34_133986	8417.296875	10.19	13.0	161.0	-225.0	0.0	-161.0	8.914161830162688e+16	-1.453866358571465e-14	-137564225776924.45	-0.048299999999999996
2014-01-12_14:40:34_152223	10240.703125	10.24	16.0	161.0	-219.0	0.0	-161.0	1.1128945865199366e+17	-0.0	-137564225778675.64	-0.048299999999999996
2014-01-12_14:40:34_170086	12027.28125	10.29	15.0	167.0	-211.0	0.0	-167.0	1.3426268435732592e+17	4.361599075603165e-14	-137564225780432.62	-0.0501
2014-01-12_14:40:34_187737	13792.703125	10.34	19.0	167.0	-221.0	0.0	-167.0	1.572359100629586e+17	-0.0	-137564225782231.56	-0.0501
2014-01-12_14:40:34_205494	15568.40625	10.39	15.0	157.0	-219.0	0.0	-157.0	1.788334935110466e+17	-7.269331792483425e-14	-137564225784000.08	-0.047099999999999996
2014-01-12_14:40:34_223147	17333.609375	10.44	12.0	169.0	-226.0	0.0	-169.0	2.0208184766883853e+17	8.723198150869073e-14	-137564225785751.14	-0.050699999999999995
2014-01-12_14:40:34_241204	19139.40625	10.49	18.0	160.0	-215.0	0.0	-160.0	2.2409212379484013e+17	-6.54239861306815e-14	-137564225787510.11	-0.047999999999999994
2014-01-12_14:40:34_259206	20939.59375	10.54	-13.0	159.0	-230.0	0.0	-159.0	2.459648356953315e+17	-7.269331792205801e-15	-137564225789253.83	-0.04769999999999999
2014-01-12_14:40:34_277088	22727.984375	10.58	12.0	154.0	-206.0	0.0	-154.0	2.6714972646715213e+17	-3.6346658960556267e-14	-137564225791043.03	-0.0462
2014-01-12_14:40:34_294743	24493.6875	10.63	11.0	167.0	-204.0	0.0	-167.0	2.9012295217455366e+17	9.450131329622324e-14	-137564225792823.42	-0.0501
2014-01-12_14:40:34_312508	26270.390625	10.68	7.0	155.0	-216.0	0.0	-155.0	3.114454071727161e+17	-8.723198150308174e-14	-137564225794596.47	-0.04649999999999999
2014-01-12_14:40:34_330250	28047.390625	10.73	10.0	162.0	-206.0	0.0	-162.0	3.33730811751724e+17	5.0885322542817405e-14	-137564225796345.44	-0.0486
2014-01-12_14:40:34_348888	29907.890625	10.78	18.0	161.0	-211.0	0.0	-161.0	3.558786521052181e+17	-7.26933179173834e-15	-137564225798100.05	-0.048299999999999996
2014-01-12_14:40:34_366895	31708.78125	10.83	10.0	163.0	-206.0	0.0	-163.0	3.783016209106002e+17	1.453866358328749e-14	-137564225799890.12	-0.0489
2014-01-12_14:40:34_401494	35168.1875	10.87	9.0	163.0	-215.0	0.0	-163.0	4.007245897162754e+17	-0.0	-137564225801688.31	-0.0489
2014-01-12_14:40:34_419344	36953.0	10.92	22.0	167.0	-209.0	0.0	-167.0	4.2369781542573914e+17	2.90773271654585e-14	-137564225805172.19	-0.0501
2014-01-12_14:40:34_437371	38755.390625	10.97	10.0	138.0	-194.0	0.0	-138.0	4.4268167858709344e+17	-2.1081062194690316e-13	-137564225806915.11	-0.0414
2014-01-12_14:40:34_455205	40547.109375	11.02	25.0	178.0	-215.0	0.0	-178.0	4.671681107810415e+17	2.907732716471347e-13	-137564225808696.88	-0.053399999999999996
2014-01-12_14:40:34_473257	42344.90625	11.05	66.0	119.0	-230.0	0.0	-119.0	4.835382536524865e+17	-4.2889057567401794e-13	-137564225810462.83	-0.035699999999999996
2014-01-12_14:40:34_490976	44116.6875	11.12	15.0	207.0	-235.0	0.0	-207.0	5.1201404839562e+17	6.39701197607226e-13	-137564225812238.77	-0.062099999999999995
2014-01-12_14:40:34_508735	45892.59375	11.18	-8.0	211.0	-199.0	0.0	-211.0	5.410401000423771e+17	2.9077327163589395e-14	-137564225814014.86	-0.0633
2014-01-12_14:40:34_526526	47671.796875	11.25	50.0	241.0	-221.0	0.0	-241.0	5.741930784639774e+17	2.180799537241396e-13	-137564225815769.03	-0.07229999999999999
2014-01-12_14:40:34_544417	49460.890625	11.27	105.0	70.0	-225.0	0.0	-70.0	5.838225742712042e+17	-1.2430557362117275e-12	-137564225817525.11	-0.020999999999999998
2014-01-12_14:40:34_562055	51227.59375	11.29	32.0	63.0	-209.0	0.0	-63.0	5.924891204978208e+17	-5.088532253432235e-14	-137564225819311.11	-0.018899999999999997
2014-01-12_14:40:34_580186	53037.90625	11.34	3.0	166.0	-227.0	0.0	-166.0	6.153247819841172e+17	7.487411744240658e-13	-137564225821062.86	-0.0498
2014-01-12_14:40:34_598030	54822.296875	11.39	-15.0	157.0	-213.0	0.0	-157.0	6.369223654382985e+17	-6.542398611389316e-14	-137564225822810.23	-0.047099999999999996
2014-01-12_14:40:34_615788	56598.3125	11.42	1.0	117.0	-231.0	0.0	-117.0	6.53017379859777e+17	-2.9077327161351354e-13	-137564225824603.0	-0.0351
