datetime	reltime	speed	x	y	z	d	speed_real
2014-01-12_13:39:47_068056	703.6875	0.2	13.0	152.0	-227.0	0.0	220
2014-01-12_13:39:47_173306	11206.390625	0.4	13.0	152.0	-227.0	0.0	221
2014-01-12_13:39:47_277915	21666.0	0.6	13.0	152.0	-227.0	0.0	222
2014-01-12_13:39:47_382723	32153.078125	0.8	11.0	156.0	-208.0	0.0	223
2014-01-12_13:39:47_486981	42584.296875	1.0	11.0	156.0	-208.0	0.0	223
2014-01-12_13:39:47_591486	53023.796875	1.2	11.0	156.0	-208.0	0.0	224
2014-01-12_13:39:47_696880	63594.703125	1.4	0.0	133.0	-249.0	0.0	225
2014-01-12_13:39:47_802354	74110.203125	1.6	0.0	133.0	-249.0	0.0	226
2014-01-12_13:39:47_907447	84620.0	1.8	0.0	133.0	-249.0	0.0	226
2014-01-12_13:39:48_011711	95045.6875	2.0	20.0	157.0	-234.0	0.0	227
2014-01-12_13:39:48_115917	105471.078125	2.2	20.0	157.0	-234.0	0.0	228
2014-01-12_13:39:48_220260	115904.0	2.4	20.0	157.0	-234.0	0.0	229
2014-01-12_13:39:48_324534	126328.296875	2.6	14.0	164.0	-273.0	0.0	229
2014-01-12_13:39:48_430057	136926.390625	2.8	14.0	164.0	-273.0	0.0	230
2014-01-12_13:39:48_534920	147366.40625	3.0	14.0	164.0	-273.0	0.0	231
2014-01-12_13:39:48_639220	157796.6875	3.2	-11.0	142.0	-215.0	0.0	232
2014-01-12_13:39:48_743442	168217.796875	3.4	-11.0	142.0	-215.0	0.0	232
2014-01-12_13:39:48_847709	178644.890625	3.6	-11.0	142.0	-215.0	0.0	233
2014-01-12_13:39:48_951980	189072.796875	3.8	15.0	159.0	-250.0	0.0	234
2014-01-12_13:39:49_056215	199500.078125	4.0	15.0	159.0	-250.0	0.0	235
2014-01-12_13:39:49_160463	209920.6875	4.2	15.0	159.0	-250.0	0.0	235
2014-01-12_13:39:49_264093	220283.703125	4.4	24.0	153.0	-226.0	0.0	236
2014-01-12_13:39:49_369324	230808.90625	4.6	24.0	153.0	-226.0	0.0	237
2014-01-12_13:39:49_474246	241300.078125	4.8	24.0	153.0	-226.0	0.0	238
2014-01-12_13:39:49_579710	251846.09375	5.0	-70.0	167.0	-248.0	0.0	239
2014-01-12_13:39:49_684064	262286.28125	5.2	-70.0	167.0	-248.0	0.0	239
2014-01-12_13:39:49_789285	272804.1875	5.4	-70.0	167.0	-248.0	0.0	240
2014-01-12_13:39:49_893736	283248.6875	5.6	-16.0	129.0	-229.0	0.0	241
2014-01-12_13:39:49_997928	293679.0	5.8	-16.0	129.0	-229.0	0.0	242
2014-01-12_13:39:50_102532	304128.1875	6.0	-16.0	129.0	-229.0	0.0	242
2014-01-12_13:39:50_206758	314551.90625	6.2	11.0	182.0	-199.0	0.0	243
2014-01-12_13:39:50_311157	324990.484375	6.4	11.0	182.0	-199.0	0.0	244
2014-01-12_13:39:50_415246	335406.890625	6.6	11.0	182.0	-199.0	0.0	245
2014-01-12_13:39:50_519649	345839.6875	6.8	12.0	184.0	-228.0	0.0	245
2014-01-12_13:39:50_623773	356262.890625	7.0	12.0	184.0	-228.0	0.0	246
2014-01-12_13:39:50_728290	366703.890625	7.2	12.0	184.0	-228.0	0.0	247
2014-01-12_13:39:50_832374	377113.609375	7.4	-2.0	115.0	-226.0	0.0	248
2014-01-12_13:39:50_936760	387550.78125	7.6	-2.0	115.0	-226.0	0.0	248
2014-01-12_13:39:51_040878	397964.0	7.8	-2.0	115.0	-226.0	0.0	249
2014-01-12_13:39:51_144983	408390.5	8.0	-11.0	145.0	-201.0	0.0	250
2014-01-12_13:39:51_250240	418899.796875	8.2	-11.0	145.0	-201.0	0.0	251
2014-01-12_13:39:51_354350	429311.078125	8.4	-11.0	145.0	-201.0	0.0	251
2014-01-12_13:39:51_458696	439744.28125	8.6	9.0	185.0	-212.0	0.0	252
2014-01-12_13:39:51_563317	450207.6875	8.8	9.0	185.0	-212.0	0.0	253
2014-01-12_13:39:51_667451	460620.5	9.0	9.0	185.0	-212.0	0.0	254
2014-01-12_13:39:51_771943	471069.1875	9.2	16.0	144.0	-215.0	0.0	254
2014-01-12_13:39:51_877016	481577.984375	9.4	16.0	144.0	-215.0	0.0	255
2014-01-12_13:39:51_981144	491989.59375	9.6	16.0	144.0	-215.0	0.0	256
2014-01-12_13:39:52_085808	502456.5	9.8	44.0	201.0	-225.0	0.0	257
2014-01-12_13:39:52_190500	512926.09375	10.0	44.0	201.0	-225.0	0.0	258
2014-01-12_13:39:52_294665	523342.671875	10.2	44.0	201.0	-225.0	0.0	258
2014-01-12_13:39:52_399212	533796.09375	10.4	-33.0	206.0	-234.0	0.0	259
2014-01-12_13:39:52_503884	544264.203125	10.6	-33.0	206.0	-234.0	0.0	260
2014-01-12_13:39:52_608008	554676.609375	10.8	-33.0	206.0	-234.0	0.0	261
2014-01-12_13:39:52_712473	565122.484375	11.0	37.0	122.0	-213.0	0.0	261
2014-01-12_13:39:52_817169	575592.484375	11.2	37.0	122.0	-213.0	0.0	262
2014-01-12_13:39:52_921218	585997.890625	11.4	37.0	122.0	-213.0	0.0	263
2014-01-12_13:39:53_025637	596439.09375	11.6	50.0	287.0	-478.0	0.0	264
2014-01-12_13:39:53_131218	607033.171875	11.8	50.0	287.0	-478.0	0.0	264
2014-01-12_13:39:53_236994	617576.28125	12.0	50.0	287.0	-478.0	0.0	265
2014-01-12_13:39:53_341399	628015.390625	12.2	23.0	156.0	-245.0	0.0	266
2014-01-12_13:39:53_446403	638515.59375	12.4	23.0	156.0	-245.0	0.0	267
2014-01-12_13:39:53_551344	649020.0	12.6	23.0	156.0	-245.0	0.0	267
2014-01-12_13:39:53_655871	659461.78125	12.8	40.0	142.0	-234.0	0.0	268
2014-01-12_13:39:53_760623	669942.09375	13.0	40.0	142.0	-234.0	0.0	269
2014-01-12_13:39:53_865678	680444.5	13.2	40.0	142.0	-234.0	0.0	270
2014-01-12_13:39:53_970074	690882.296875	13.4	58.0	200.0	-197.0	0.0	270
2014-01-12_13:39:54_074803	701364.6875	13.6	58.0	200.0	-197.0	0.0	271
2014-01-12_13:39:54_180320	711924.484375	13.8	58.0	200.0	-197.0	0.0	272
2014-01-12_13:39:54_284955	722370.796875	14.0	8.0	182.0	-317.0	0.0	273
2014-01-12_13:39:54_389753	732862.5	14.2	8.0	182.0	-317.0	0.0	273
2014-01-12_13:39:54_493998	743285.703125	14.4	8.0	182.0	-317.0	0.0	274
2014-01-12_13:39:54_598556	753730.796875	14.6	138.0	185.0	-218.0	0.0	275
2014-01-12_13:39:54_704105	764318.890625	14.8	138.0	185.0	-218.0	0.0	276
2014-01-12_13:39:54_809715	774847.390625	15.0	138.0	185.0	-218.0	0.0	276
2014-01-12_13:39:54_914122	785287.40625	15.2	124.0	209.0	-202.0	0.0	277
2014-01-12_13:39:55_019072	795793.796875	15.4	124.0	209.0	-202.0	0.0	278
2014-01-12_13:39:55_123553	806230.90625	15.6	124.0	209.0	-202.0	0.0	279
2014-01-12_13:39:55_227750	816660.40625	15.8	29.0	120.0	-189.0	0.0	280
2014-01-12_13:39:55_332259	827101.484375	16.0	29.0	120.0	-189.0	0.0	280
2014-01-12_13:39:55_436356	837520.78125	16.2	26.0	196.0	-197.0	0.0	281
2014-01-12_13:39:55_540935	847972.578125	16.4	26.0	196.0	-197.0	0.0	282
2014-01-12_13:39:55_645100	858401.890625	16.6	26.0	196.0	-197.0	0.0	283
2014-01-12_13:39:55_749730	868848.578125	16.8	59.0	153.0	-223.0	0.0	283
2014-01-12_13:39:55_853865	879262.6875	17.0	59.0	153.0	-223.0	0.0	284
2014-01-12_13:39:55_958236	889699.09375	17.2	59.0	153.0	-223.0	0.0	285
2014-01-12_13:39:56_062530	900140.1875	17.4	-9.0	228.0	-296.0	0.0	286
2014-01-12_13:39:56_167683	910643.796875	17.6	-9.0	228.0	-296.0	0.0	286
2014-01-12_13:39:56_272014	921075.984375	17.8	-9.0	228.0	-296.0	0.0	287
2014-01-12_13:39:56_377103	931586.984375	18.0	-54.0	158.0	-363.0	0.0	288
2014-01-12_13:39:56_481513	942026.5	18.2	-54.0	158.0	-363.0	0.0	289
2014-01-12_13:39:56_587058	952613.0	18.4	-54.0	158.0	-363.0	0.0	289
2014-01-12_13:39:56_693192	963195.796875	18.6	-41.0	338.0	-188.0	0.0	290
2014-01-12_13:39:56_798800	973755.09375	18.8	-41.0	338.0	-188.0	0.0	291
2014-01-12_13:39:56_903305	984205.203125	19.0	-41.0	338.0	-188.0	0.0	292
2014-01-12_13:39:57_008525	994738.484375	19.2	32.0	135.0	-286.0	0.0	292
2014-01-12_13:39:57_113043	1005179.28125	19.4	32.0	135.0	-286.0	0.0	293
2014-01-12_13:39:57_217995	1015683.484375	19.6	32.0	135.0	-286.0	0.0	294
2014-01-12_13:39:57_323137	1026199.484375	19.8	16.0	116.0	-250.0	0.0	295
2014-01-12_13:39:57_427682	1036642.6875	20.0	16.0	116.0	-250.0	0.0	295
2014-01-12_13:39:57_533119	1047220.6875	20.2	16.0	116.0	-250.0	0.0	296
2014-01-12_13:39:57_638851	1057760.59375	20.4	-30.0	77.0	-224.0	0.0	297
2014-01-12_13:39:57_743337	1068209.0	20.6	-30.0	77.0	-224.0	0.0	298
2014-01-12_13:39:57_848594	1078738.0	20.8	-30.0	77.0	-224.0	0.0	299
2014-01-12_13:39:57_953708	1089245.890625	21.0	-34.0	89.0	-213.0	0.0	299
2014-01-12_13:39:58_058092	1099683.875	21.0	-34.0	89.0	-213.0	0.0	299
2014-01-12_13:39:58_163036	1110178.890625	21.0	-34.0	89.0	-213.0	0.0	299
2014-01-12_13:39:58_268066	1120681.78125	21.0	22.0	47.0	-252.0	0.0	299
2014-01-12_13:39:58_372466	1131121.578125	21.0	22.0	47.0	-252.0	0.0	299
2014-01-12_13:39:58_477823	1141657.90625	21.0	22.0	47.0	-252.0	0.0	299
2014-01-12_13:39:58_582329	1152107.875	21.0	46.0	41.0	-276.0	0.0	299
2014-01-12_13:39:58_686575	1162533.5	21.0	46.0	41.0	-276.0	0.0	299
2014-01-12_13:39:58_791080	1172982.5	21.0	46.0	41.0	-276.0	0.0	299
2014-01-12_13:39:58_895263	1183418.796875	21.0	60.0	44.0	-296.0	0.0	299
2014-01-12_13:39:58_999936	1193868.796875	21.0	60.0	44.0	-296.0	0.0	299
2014-01-12_13:39:59_104160	1204302.5	21.0	60.0	44.0	-296.0	0.0	299
2014-01-12_13:39:59_209183	1214793.484375	21.0	-31.0	64.0	-239.0	0.0	299
2014-01-12_13:39:59_313639	1225238.890625	21.0	-31.0	64.0	-239.0	0.0	299
2014-01-12_13:39:59_418592	1235734.390625	21.0	-31.0	64.0	-239.0	0.0	299
2014-01-12_13:39:59_522949	1246169.59375	21.0	65.0	53.0	-229.0	0.0	299
2014-01-12_13:39:59_627161	1256591.890625	21.0	65.0	53.0	-229.0	0.0	299
2014-01-12_13:39:59_731582	1267033.1875	21.0	65.0	53.0	-229.0	0.0	299
2014-01-12_13:39:59_835769	1277462.890625	21.0	6.0	57.0	-271.0	0.0	299
2014-01-12_13:39:59_940310	1287905.375	21.0	6.0	57.0	-271.0	0.0	299
2014-01-12_13:40:00_044406	1298316.5	21.0	6.0	57.0	-271.0	0.0	299
2014-01-12_13:40:00_148843	1308758.90625	21.0	16.0	37.0	-265.0	0.0	299
2014-01-12_13:40:00_252962	1319171.6875	21.0	16.0	37.0	-265.0	0.0	299
2014-01-12_13:40:00_358165	1329692.390625	21.0	16.0	37.0	-265.0	0.0	299
2014-01-12_13:40:00_462618	1340136.6875	21.0	70.0	51.0	-277.0	0.0	299
2014-01-12_13:40:00_568370	1350712.984375	21.0	70.0	51.0	-277.0	0.0	299
2014-01-12_13:40:00_672762	1361150.6875	21.0	70.0	51.0	-277.0	0.0	299
2014-01-12_13:40:00_776990	1371584.296875	21.0	20.0	34.0	-270.0	0.0	299
2014-01-12_13:40:00_881525	1382027.390625	21.0	20.0	34.0	-270.0	0.0	299
2014-01-12_13:40:00_985667	1392442.484375	21.0	20.0	34.0	-270.0	0.0	299
2014-01-12_13:40:01_090617	1402936.296875	21.0	75.0	28.0	-270.0	0.0	299
2014-01-12_13:40:01_195493	1413424.796875	21.0	75.0	28.0	-270.0	0.0	299
2014-01-12_13:40:01_300978	1424036.875	21.0	75.0	28.0	-270.0	0.0	299
2014-01-12_13:40:01_406047	1434479.6875	21.0	-184.0	54.0	-246.0	0.0	299
2014-01-12_13:40:01_511228	1444999.0	21.0	-184.0	54.0	-246.0	0.0	299
2014-01-12_13:40:01_615784	1455453.296875	21.0	-184.0	54.0	-246.0	0.0	299
2014-01-12_13:40:01_721134	1465997.28125	21.0	78.0	93.0	-193.0	0.0	299
2014-01-12_13:40:01_826197	1476494.5	21.0	78.0	93.0	-193.0	0.0	299
2014-01-12_13:40:01_930709	1486945.703125	21.0	78.0	93.0	-193.0	0.0	299
2014-01-12_13:40:02_035936	1497496.890625	21.0	127.0	103.0	-233.0	0.0	299
2014-01-12_13:40:02_141691	1508045.1875	21.0	127.0	103.0	-233.0	0.0	299
2014-01-12_13:40:02_246147	1518489.6875	21.0	127.0	103.0	-233.0	0.0	299
2014-01-12_13:40:02_351636	1529064.578125	21.0	50.0	155.0	-295.0	0.0	299
2014-01-12_13:40:02_457174	1539592.6875	21.0	50.0	155.0	-295.0	0.0	299
2014-01-12_13:40:02_561577	1550032.1875	21.0	50.0	155.0	-295.0	0.0	299
2014-01-12_13:40:02_666514	1560526.484375	21.0	142.0	50.0	-282.0	0.0	299
2014-01-12_13:40:02_771488	1571024.203125	21.0	142.0	50.0	-282.0	0.0	299
2014-01-12_13:40:02_876724	1581547.90625	21.0	142.0	50.0	-282.0	0.0	299
2014-01-12_13:40:02_981118	1591986.796875	21.0	45.0	42.0	-255.0	0.0	299
