datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-01-12_15:08:35_616098	301761.703125	20.5	21.0	44.0	-293.0	0.0	0	0	0	0	0
2014-01-12_15:08:35_636676	303726.609375	20.65	25.0	123.0	-165.0	0.0	-123.0	-2904.01318359375	-5.209687092838086	23.60986328125	-0.1518716278889713
2014-01-12_15:08:35_654263	305492.8125	20.85	-26.0	51.0	-291.0	0.0	-51.0	-3876.3251953125	3.7765655013446024	19.06494140625	-0.19598860321549053
2014-01-12_15:08:35_672085	307273.0	21.1	42.0	60.0	-287.0	0.0	-60.0	-4934.0009765625	-0.5105534319428287	17.6279296875	-0.2497511041713193
2014-01-12_15:08:35_690075	309066.921875	21.47	21.0	139.0	-251.0	0.0	-139.0	-7397.4501953125	-4.457571082212916	17.72265625	-0.37726826687384635
2014-01-12_15:08:35_707797	310839.296875	21.85	109.0	6.0	-369.0	0.0	-6.0	-7504.9052734375	7.426359125361252	17.9091796875	-0.37480262775933887
2014-01-12_15:08:35_725520	312612.203125	22.0	8.0	123.0	-229.0	0.0	-123.0	-9681.48876953125	-6.611738086697387	17.69580078125	-0.49088561228523225
2014-01-12_15:08:35_743829	314442.515625	22.0	-103.0	139.0	-226.0	0.0	-139.0	-12134.859130859375	-0.9065080572653711	17.650146484375	-0.6137836073486953
2014-01-12_15:08:35_761241	316184.0	22.0	44.0	-20.0	-384.0	0.0	20.0	-11769.844482421875	8.711979131830647	18.250732421875	-0.5866210262079108
2014-01-12_15:08:35_778828	317942.21875	22.0	-2.0	137.0	-279.0	0.0	-137.0	-14148.71435546875	-9.0416883427302	17.364013671875	-0.7151898866077105
2014-01-12_15:08:35_796293	319688.609375	22.0	63.0	51.0	-350.0	0.0	-51.0	-15044.376953125	4.896933299969416	17.56201171875	-0.7542791543262531
2014-01-12_15:08:35_813855	321445.109375	22.0	18.0	111.0	-354.0	0.0	-111.0	-16978.90966796875	-3.442691844339226	17.42822265625	-0.8548397525828716
2014-01-12_15:08:35_831544	323214.0	22.0	39.0	115.0	-261.0	0.0	-115.0	-18984.166015625	-0.22939710453361709	17.43701171875	-0.9549812404917034
2014-01-12_15:08:35_849582	325017.5	22.0	109.0	75.0	-389.0	0.0	-75.0	-20308.879150390625	2.264641242898807	17.662841796875	-1.0189674933952413
2014-01-12_15:08:35_867418	326801.703125	22.0	15.0	102.0	-317.0	0.0	-102.0	-22170.578369140625	-1.4792937399678974	18.251953125	-1.1137768478310281
2014-01-12_15:08:35_884894	328548.90625	22.0	-109.0	126.0	-248.0	0.0	-126.0	-24377.577880859375	-1.3701860756847166	17.515869140625	-1.2253159126505373
2014-01-12_15:08:35_902223	330289.8125	22.0	140.0	89.0	-357.0	0.0	-89.0	-25935.338623046875	2.113931819449869	17.5029296875	-1.3010055379703989
2014-01-12_15:08:35_919936	332053.40625	22.0	47.0	84.0	-336.0	0.0	-84.0	-27385.671630859375	0.2895886653186465	17.265869140625	-1.373454622676437
2014-01-12_15:08:35_954978	335557.515625	22.0	-46.0	145.0	-281.0	0.0	-145.0	-32490.79736328125	-1.7325724112585033	35.207763671875	-1.6319631254051885
2014-01-12_15:08:35_973059	337365.40625	22.0	63.0	74.0	-351.0	0.0	-74.0	-33782.68994140625	4.066901605414778	17.4580078125	-1.6924278069097711
2014-01-12_15:08:35_990620	339121.109375	22.0	-10.0	112.0	-332.0	0.0	-112.0	-35792.29150390625	-2.117832748251558	17.94287109375	-1.7954263584701378
2014-01-12_15:08:36_008058	340865.90625	22.0	58.0	75.0	-251.0	0.0	-75.0	-37104.260498046875	2.1151414495261753	17.492919921875	-1.858751510757391
2014-01-12_15:08:36_025625	342623.0	22.0	26.0	87.0	-405.0	0.0	-87.0	-38618.859130859375	-0.6892915240926685	17.4091796875	-1.935361885695378
2014-01-12_15:08:36_043051	344365.3125	22.0	134.0	115.0	-316.0	0.0	-115.0	-40632.95947265625	-1.5987286895186585	17.513916015625	-2.0375578465017643
2014-01-12_15:08:36_060363	346096.015625	22.0	44.0	80.0	-232.0	0.0	-80.0	-42023.60400390625	2.0134548672069212	17.383056640625	-2.104978854708592
2014-01-12_15:08:36_077856	347845.203125	22.0	-195.0	113.0	-101.0	0.0	-113.0	-43972.053955078125	-1.9138289889135882	17.242919921875	-2.204444080652798
2014-01-12_15:08:36_095302	349600.5	22.0	99.0	71.0	-279.0	0.0	-71.0	-45215.75	2.3976919538948276	17.516845703125	-2.264097730804611
2014-01-12_15:08:36_112979	351357.203125	22.0	-145.0	158.0	-202.0	0.0	-158.0	-47969.21630859375	-4.992252840391701	17.427001953125	-2.4068600407137266
2014-01-12_15:08:36_130306	353090.40625	22.0	-8.0	32.0	-60.0	0.0	-32.0	-48529.05224609375	7.202109993162059	17.494873046875	-2.4273324013053714
2014-01-12_15:08:36_147742	354833.703125	22.0	176.0	80.0	-212.0	0.0	-80.0	-49912.56787109375	-2.7755378621040148	17.2939453125	-2.4999059473408978
2014-01-12_15:08:36_165214	356594.890625	22.0	-25.0	116.0	-359.0	0.0	-116.0	-51934.32666015625	-2.0655283026796845	17.428955078125	-2.6027228858380806
2014-01-12_15:08:36_182672	358326.40625	22.0	-35.0	95.0	-183.0	0.0	-95.0	-53596.73388671875	1.2000669680227691	17.4990234375	-2.6844666876391354
2014-01-12_15:08:36_200097	360069.203125	22.0	79.0	108.0	-429.0	0.0	-108.0	-55459.73388671875	-0.7536231884057971	17.25	-2.778462056654778
2014-01-12_15:08:36_217891	361848.5	22.0	3.0	112.0	-288.0	0.0	-112.0	-57407.10107421875	-0.23005419978095426	17.38720703125	-2.875978059130915
2014-01-12_15:08:36_235676	363632.109375	22.0	10.0	152.0	-221.0	0.0	-152.0	-60105.73193359375	-2.2529943207601657	17.754150390625	-3.0131118961117638
2014-01-12_15:08:36_253178	365377.625	22.0	146.0	26.0	-329.0	0.0	-26.0	-60568.17138671875	7.084170647339812	17.7861328125	-3.029000152271204
2014-01-12_15:08:36_270748	367134.5	22.0	52.0	24.0	-272.0	0.0	-24.0	-60985.72216796875	0.11495607757290001	17.39794921875	-3.0504746127906803
2014-01-12_15:08:36_288402	368899.109375	22.0	-44.0	138.0	-232.0	0.0	-138.0	-63403.3837890625	-6.507114090218648	17.519287109375	-3.177719900862147
2014-01-12_15:08:36_305958	370655.703125	22.0	111.0	5.0	-408.0	0.0	-5.0	-63491.329345703125	7.561496287042821	17.589111328125	-3.174060317656452
2014-01-12_15:08:36_323455	372405.40625	22.0	70.0	-50.0	-335.0	0.0	50.0	-62615.084228515625	3.138391240143769	17.52490234375	-3.127940372301767
2014-01-12_15:08:36_340916	374151.015625	22.0	-47.0	49.0	-316.0	0.0	-49.0	-63469.402099609375	-5.678214355728569	17.43505859375	-3.1764879264160415
2014-01-12_15:08:36_359311	375990.921875	22.0	90.0	67.0	-385.0	0.0	-67.0	-64630.6318359375	-1.0385541829245961	17.331787109375	-3.2349854472151676
