datetime	x	y	z	d	speed	speed_real
2014-01-04_13:52:17_382117	14.0	154.0	-222.0	15.64	0.1	220
2014-01-04_13:52:17_392398	32.0	158.0	-218.0	15.41	0.2	220
2014-01-04_13:52:17_402446	28.0	158.0	-236.0	15.54	0.3	221
2014-01-04_13:52:17_412321	32.0	158.0	-228.0	15.49	0.4	221
2014-01-04_13:52:17_422190	32.0	142.0	-210.0	15.6	0.5	221
2014-01-04_13:52:17_432070	10.0	212.0	-194.0	15.97	0.6	222
2014-01-04_13:52:17_441920	58.0	180.0	-200.0	15.4	0.7	222
2014-01-04_13:52:17_451794	154.0	128.0	-210.0	15.54	0.8	223
2014-01-04_13:52:17_461664	2.0	170.0	-206.0	15.49	0.9	223
2014-01-04_13:52:17_471561	54.0	166.0	-224.0	15.82	1.0	223
2014-01-04_13:52:17_481481	64.0	216.0	-208.0	15.49	1.1	224
2014-01-04_13:52:17_491914	486.0	276.0	-220.0	15.86	1.2	224
2014-01-04_13:52:17_501820	10.0	182.0	-194.0	15.49	1.3	224
2014-01-04_13:52:17_511707	76.0	174.0	-200.0	15.91	1.4	225
2014-01-04_13:52:17_521560	8.0	128.0	-234.0	15.64	1.5	225
2014-01-04_13:52:17_531575	50.0	140.0	-234.0	15.43	1.6	226
2014-01-04_13:52:17_541510	-42.0	142.0	-230.0	15.9	1.7	226
2014-01-04_13:52:17_551427	-294.0	194.0	-212.0	15.45	1.8	226
2014-01-04_13:52:17_561337	116.0	136.0	-144.0	15.4	1.9	227
2014-01-04_13:52:17_571326	-16.0	170.0	-222.0	15.64	2.0	227
2014-01-04_13:52:17_581232	98.0	208.0	-220.0	15.35	2.1	227
2014-01-04_13:52:17_591722	200.0	166.0	-218.0	15.91	2.2	228
2014-01-04_13:52:17_601628	6.0	106.0	-242.0	15.6	2.3	228
2014-01-04_13:52:17_611552	-6.0	166.0	-198.0	15.81	2.4	229
2014-01-04_13:52:17_621462	26.0	128.0	-238.0	15.34	2.5	229
2014-01-04_13:52:17_631341	0.0	140.0	-210.0	15.42	2.6	229
2014-01-04_13:52:17_641277	88.0	172.0	-194.0	15.56	2.7	230
2014-01-04_13:52:17_651238	66.0	134.0	-220.0	16.69	2.8	230
2014-01-04_13:52:17_661132	92.0	144.0	-194.0	15.33	2.9	231
2014-01-04_13:52:17_671004	44.0	166.0	-196.0	15.5	3.0	231
2014-01-04_13:52:17_680911	24.0	140.0	-196.0	15.49	3.1	231
2014-01-04_13:52:17_691372	56.0	142.0	-234.0	15.52	3.2	232
2014-01-04_13:52:17_701699	-160.0	256.0	-230.0	15.44	3.3	232
2014-01-04_13:52:17_711593	178.0	298.0	-172.0	15.62	3.4	232
2014-01-04_13:52:17_721483	-156.0	216.0	-260.0	15.4	3.5	233
2014-01-04_13:52:17_731464	-126.0	128.0	-256.0	15.47	3.6	233
2014-01-04_13:52:17_741421	66.0	104.0	-258.0	15.59	3.7	234
2014-01-04_13:52:17_751335	338.0	182.0	-370.0	15.52	3.8	234
2014-01-04_13:52:17_761250	-18.0	158.0	-180.0	15.25	3.9	234
2014-01-04_13:52:17_771120	-118.0	414.0	-184.0	15.0	4.0	235
2014-01-04_13:52:17_781055	-182.0	232.0	-330.0	15.77	4.1	235
2014-01-04_13:52:17_790970	140.0	192.0	-168.0	15.6	4.2	235
2014-01-04_13:52:17_801292	-30.0	256.0	-114.0	15.45	4.3	236
2014-01-04_13:52:17_811285	-258.0	326.0	-268.0	15.57	4.4	236
2014-01-04_13:52:17_821261	254.0	396.0	-120.0	15.84	4.5	237
2014-01-04_13:52:17_831137	362.0	-104.0	-176.0	15.35	4.6	237
2014-01-04_13:52:17_841069	-512.0	-32.0	-254.0	16.05	4.7	237
2014-01-04_13:52:17_850952	174.0	511.0	-192.0	15.49	4.8	238
2014-01-04_13:52:17_860865	-116.0	-8.0	-252.0	15.4	4.9	238
2014-01-04_13:52:17_870770	511.0	-72.0	-192.0	15.81	5.0	239
2014-01-04_13:52:17_880615	-104.0	362.0	-256.0	15.05	5.1	239
2014-01-04_13:52:17_890610	144.0	386.0	-236.0	15.44	5.2	239
2014-01-04_13:52:17_900856	46.0	252.0	-244.0	15.3	5.3	240
2014-01-04_13:52:17_910748	72.0	204.0	-192.0	15.45	5.4	240
2014-01-04_13:52:17_920628	152.0	-10.0	-358.0	15.81	5.5	240
2014-01-04_13:52:17_930611	96.0	162.0	-102.0	15.86	5.6	241
2014-01-04_13:52:17_940497	-178.0	270.0	-220.0	15.47	5.7	241
2014-01-04_13:52:17_950337	198.0	378.0	-166.0	15.9	5.8	242
2014-01-04_13:52:17_960195	-242.0	208.0	-332.0	14.99	5.9	242
2014-01-04_13:52:17_970387	-324.0	114.0	-168.0	15.47	6.0	242
