datetime	speed	x	y	z	d	speed_real
2014-01-12_13:24:16_161364	0.2	-3.0	167.0	-198.0	0.0	220
2014-01-12_13:24:16_266310	0.4	30.0	162.0	-231.0	0.0	221
2014-01-12_13:24:16_371241	0.6	19.0	156.0	-233.0	0.0	222
2014-01-12_13:24:16_476732	0.8	26.0	103.0	-221.0	0.0	223
2014-01-12_13:24:16_581747	1.0	29.0	116.0	-226.0	0.0	223
2014-01-12_13:24:16_687535	1.2	2.0	134.0	-242.0	0.0	224
2014-01-12_13:24:16_792578	1.4	12.0	153.0	-214.0	0.0	225
2014-01-12_13:24:16_897661	1.6	14.0	157.0	-234.0	0.0	226
2014-01-12_13:24:17_003039	1.8	29.0	151.0	-231.0	0.0	226
2014-01-12_13:24:17_108074	2.0	2.0	137.0	-230.0	0.0	227
2014-01-12_13:24:17_213246	2.2	-20.0	152.0	-232.0	0.0	228
2014-01-12_13:24:17_318283	2.4	29.0	171.0	-218.0	0.0	229
2014-01-12_13:24:17_423906	2.6	28.0	154.0	-226.0	0.0	229
2014-01-12_13:24:17_529290	2.8	-12.0	151.0	-235.0	0.0	230
2014-01-12_13:24:17_634357	3.0	6.0	161.0	-218.0	0.0	231
2014-01-12_13:24:17_739409	3.2	5.0	172.0	-236.0	0.0	232
2014-01-12_13:24:17_844871	3.4	6.0	139.0	-229.0	0.0	232
2014-01-12_13:24:17_949869	3.6	20.0	150.0	-230.0	0.0	233
2014-01-12_13:24:18_055157	3.8	13.0	147.0	-222.0	0.0	234
2014-01-12_13:24:18_160582	4.0	17.0	164.0	-213.0	0.0	235
2014-01-12_13:24:18_265661	4.2	13.0	142.0	-225.0	0.0	235
2014-01-12_13:24:18_370652	4.4	7.0	199.0	-221.0	0.0	236
2014-01-12_13:24:18_475590	4.6	-11.0	145.0	-232.0	0.0	237
2014-01-12_13:24:18_580611	4.8	7.0	143.0	-246.0	0.0	238
2014-01-12_13:24:18_686441	5.0	33.0	162.0	-221.0	0.0	239
2014-01-12_13:24:18_791455	5.2	-10.0	167.0	-251.0	0.0	239
2014-01-12_13:24:18_896789	5.4	15.0	168.0	-227.0	0.0	240
2014-01-12_13:24:19_001847	5.6	6.0	150.0	-239.0	0.0	241
2014-01-12_13:24:19_106844	5.8	-16.0	167.0	-234.0	0.0	242
2014-01-12_13:24:19_212333	6.0	23.0	161.0	-229.0	0.0	242
2014-01-12_13:24:19_317353	6.2	27.0	165.0	-238.0	0.0	243
2014-01-12_13:24:19_422565	6.4	14.0	147.0	-215.0	0.0	244
2014-01-12_13:24:19_527694	6.6	39.0	140.0	-234.0	0.0	245
2014-01-12_13:24:19_632686	6.8	-2.0	134.0	-233.0	0.0	245
2014-01-12_13:24:19_738325	7.0	15.0	148.0	-217.0	0.0	246
2014-01-12_13:24:19_843298	7.2	6.0	150.0	-230.0	0.0	247
2014-01-12_13:24:19_948757	7.4	19.0	167.0	-238.0	0.0	248
2014-01-12_13:24:20_054064	7.6	16.0	140.0	-241.0	0.0	248
2014-01-12_13:24:20_159406	7.8	13.0	136.0	-211.0	0.0	249
2014-01-12_13:24:20_264671	8.0	0.0	171.0	-227.0	0.0	250
2014-01-12_13:24:20_370254	8.2	4.0	149.0	-234.0	0.0	251
2014-01-12_13:24:20_475503	8.4	-34.0	136.0	-213.0	0.0	251
2014-01-12_13:24:20_581215	8.6	2.0	149.0	-232.0	0.0	252
2014-01-12_13:24:20_686565	8.8	1.0	130.0	-246.0	0.0	253
2014-01-12_13:24:20_791951	9.0	-3.0	104.0	-235.0	0.0	254
2014-01-12_13:24:20_897389	9.2	11.0	139.0	-231.0	0.0	254
2014-01-12_13:24:21_002744	9.4	-1.0	137.0	-239.0	0.0	255
2014-01-12_13:24:21_108274	9.6	-24.0	174.0	-248.0	0.0	256
2014-01-12_13:24:21_213472	9.8	4.0	146.0	-200.0	0.0	257
2014-01-12_13:24:21_318746	10.0	-31.0	159.0	-225.0	0.0	258
2014-01-12_13:24:21_423759	10.2	20.0	145.0	-206.0	0.0	258
2014-01-12_13:24:21_528902	10.4	27.0	136.0	-233.0	0.0	259
2014-01-12_13:24:21_635132	10.6	24.0	196.0	-222.0	0.0	260
2014-01-12_13:24:21_740564	10.8	15.0	157.0	-249.0	0.0	261
2014-01-12_13:24:21_845863	11.0	31.0	142.0	-212.0	0.0	261
2014-01-12_13:24:21_951150	11.2	56.0	139.0	-215.0	0.0	262
2014-01-12_13:24:22_056291	11.4	43.0	207.0	-232.0	0.0	263
2014-01-12_13:24:22_161535	11.6	5.0	82.0	-244.0	0.0	264
2014-01-12_13:24:22_267265	11.8	2.0	86.0	-227.0	0.0	264
2014-01-12_13:24:22_372249	12.0	59.0	211.0	-209.0	0.0	265
2014-01-12_13:24:22_477660	12.2	46.0	87.0	-211.0	0.0	266
