datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_23:28:09_875722	303318.6875	18.0	-5.0	76.0	-208.0	-6.374045801526718	2.49618320610687	1.8702290076335877	-0.5150146484375	0.1214599609375	1.094482421875	0.0	0.0	0.0	0	0	0	0	0	0.05	1e-05	1e-05	0	0
2014-02-01_23:28:09_943332	310034.171875	18.02	85.0	30.0	-235.0	-2.50381679389313	0.6641221374045801	0.5038167938931297	-0.30810546875	0.148681640625	0.506591796875	0.0	0.0	-3.45	-0.49370573769175546	-0.017226299291408075	0.49370573769175546	0.03434364644543747	7.097247399661076	0.05	1e-05	1e-05	0.06956298828125	0.024756602795048842
2014-02-01_23:28:10_010178	316741.890625	18.07	-48.0	18.0	-153.0	-3.687022900763359	1.3053435114503817	-0.48854961832061067	-0.7127685546875	0.035888671875	1.2891845703125	0.0	0.0	-2.07	-0.9336137730646338	-0.03257549801342058	0.9336137730646338	0.09706466763086581	6.548110871660045	0.05	1e-05	1e-05	0.067180908203125	0.04674714040862459
2014-02-01_23:28:10_077115	323434.6875	18.15	5.0	39.0	-245.0	-5.786259541984733	1.0687022900763359	0.6717557251908397	-0.5980224609375	0.025390625	1.160400390625	0.0	0.0	-4.49	-1.5189216789898201	-0.05299796507291766	1.5189216789898201	0.1983358780997054	8.778772003198775	0.05	1e-05	1e-05	0.066673095703125	0.076035855028304
2014-02-01_23:28:10_145529	330253.375	18.27	23.0	89.0	-217.0	-1.9923664122137406	0.3893129770992366	-0.7938931297709924	-0.2906494140625	0.2625732421875	1.1290283203125	0.0	0.0	-10.43	-2.4938919892247315	-0.08701646857029768	2.4938919892247315	0.36459859130321515	14.62426902326931	0.05	1e-05	1e-05	0.06666796875	0.1248444881373823
2014-02-01_23:28:10_213163	337038.578125	18.57	141.0	262.0	-351.0	-2.954198473282443	-4.015267175572519	-2.1297709923664123	-0.0657958984375	0.0703125	0.111083984375	0.0	0.0	-45.02	-5.861415521640393	-0.20451554506770386	5.861415521640393	0.7652784309585536	49.26241040569772	0.05	1e-05	1e-05	0.06835888671875	0.2935710529703862
2014-02-01_23:28:10_280425	343742.890625	18.87	54.0	102.0	-159.0	-4.305343511450381	-1.8473282442748091	2.1755725190839694	-0.502197265625	0.028564453125	0.7666015625	0.0	0.0	-12.04	-6.078132496667986	-0.21207719806936448	6.078132496667986	1.1751101666018051	3.2140861088449646	0.05	1e-05	1e-05	0.06742724609375	0.30395051679615376
2014-02-01_23:28:10_347328	350432.984375	19.18	42.0	29.0	-163.0	-4.282442748091603	2.0763358778625953	1.7633587786259541	-0.6812744140625	0.0020751953125	1.24609375	0.0	0.0	-3.33	-6.253384310243972	-0.21819205548653078	6.253384310243972	1.5953189664473229	2.60802948857989	0.05	1e-05	1e-05	0.067197021484375	0.3127112489967489
2014-02-01_23:28:10_414286	357128.875	19.5	86.0	60.0	-259.0	-2.4885496183206106	-0.09923664122137404	-0.6793893129770993	-0.3333740234375	0.2176513671875	1.3302001953125	0.0	0.0	-6.95	-6.301338278409306	-0.21986525744624236	6.301338278409306	2.0153533149562026	0.7194034875351352	0.05	1e-05	1e-05	0.066657958984375	0.31509426148849023
2014-02-01_23:28:10_481337	363834.09375	19.77	14.0	61.0	-158.0	-3.50381679389313	-3.900763358778626	-3.053435114503817	-0.2384033203125	0.0035400390625	0.180908203125	0.0	0.0	-7.06	-5.536701339242301	-0.19318567129247385	5.536701339242301	2.385553982065487	-11.435869087373444	0.05	1e-05	1e-05	0.066863037109375	0.276744563811062
2014-02-01_23:28:10_548252	370555.78125	20.06	50.0	97.0	-278.0	-2.7938931297709924	-1.8931297709923665	4.458015267175573	-0.747802734375	-0.2705078125	1.231201171875	0.0	0.0	-11.42	-5.7165317777384645	-0.19946028533630372	5.7165317777384645	2.768116402766469	2.6871599525753496	0.05	1e-05	1e-05	0.066922119140625	0.2858811416504767
2014-02-01_23:28:10_615281	377228.78125	20.39	166.0	187.0	-320.0	-3.6564885496183206	-4.251908396946565	2.6717557251908395	-0.4031982421875	0.2611083984375	1.4974365234375	0.0	0.0	-24.22	-6.650956902557873	-0.2320640929015308	6.650956902557873	3.2124201338363907	13.98777637737888	0.05	1e-05	1e-05	0.066802978515625	0.3327198470930058
2014-02-01_23:28:10_682387	383947.671875	20.62	-33.0	115.0	-98.0	-2.3206106870229006	-13.50381679389313	-1.6946564885496183	-0.2235107421875	-0.0772705078125	0.190673828125	0.0	0.0	-13.7	-4.446949311824219	-0.15516222302247798	4.446949311824219	3.509516735198866	-32.98964038605901	0.05	1e-05	1e-05	0.06680908203125	0.22205266435470236
