datetime	speed	x	y	z	d	speed_real
2014-01-12_13:22:50_598819	0.2	18.0	162.0	-263.0	0.0	220
2014-01-12_13:22:50_702980	0.4	18.0	162.0	-263.0	0.0	221
2014-01-12_13:22:50_807474	0.6	27.0	151.0	-206.0	0.0	222
2014-01-12_13:22:50_912090	0.8	8.0	153.0	-221.0	0.0	223
2014-01-12_13:22:51_016207	1.0	8.0	153.0	-221.0	0.0	223
2014-01-12_13:22:51_120588	1.2	15.0	142.0	-228.0	0.0	224
2014-01-12_13:22:51_225399	1.4	-2.0	148.0	-223.0	0.0	225
2014-01-12_13:22:51_329488	1.6	-2.0	148.0	-223.0	0.0	226
2014-01-12_13:22:51_433871	1.8	-6.0	152.0	-213.0	0.0	226
2014-01-12_13:22:51_538580	2.0	16.0	152.0	-227.0	0.0	227
2014-01-12_13:22:51_642633	2.2	16.0	152.0	-227.0	0.0	228
2014-01-12_13:22:51_747049	2.4	15.0	153.0	-251.0	0.0	229
2014-01-12_13:22:51_851134	2.6	40.0	167.0	-254.0	0.0	229
2014-01-12_13:22:51_955476	2.8	40.0	167.0	-254.0	0.0	230
2014-01-12_13:22:52_059731	3.0	-6.0	160.0	-218.0	0.0	231
2014-01-12_13:22:52_165591	3.2	57.0	134.0	-247.0	0.0	232
2014-01-12_13:22:52_270053	3.4	57.0	134.0	-247.0	0.0	232
2014-01-12_13:22:52_374982	3.6	4.0	158.0	-232.0	0.0	233
2014-01-12_13:22:52_479535	3.8	-16.0	149.0	-214.0	0.0	234
2014-01-12_13:22:52_583602	4.0	-16.0	149.0	-214.0	0.0	235
2014-01-12_13:22:52_688707	4.2	13.0	148.0	-228.0	0.0	235
2014-01-12_13:22:52_793237	4.4	48.0	147.0	-224.0	0.0	236
2014-01-12_13:22:52_898118	4.6	48.0	147.0	-224.0	0.0	237
2014-01-12_13:22:53_002262	4.8	-11.0	171.0	-221.0	0.0	238
2014-01-12_13:22:53_106841	5.0	57.0	112.0	-214.0	0.0	239
2014-01-12_13:22:53_212010	5.2	57.0	112.0	-214.0	0.0	239
