datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-02_00:15:48_355216	303301.3125	288	74.0	111.0	-233.0	-5.534351145038168	12.419847328244275	-0.9083969465648855	-0.742431640625	-0.28466796875	1.29931640625	0.0	0.0	0.0	0	0	0	0	0	0.001	1e-05	0.002	0	0
2014-02-02_00:15:48_422863	310048.0	293	42.0	155.0	-253.0	-2.2442748091603053	23.0	-7.358778625954199	-0.5614013671875	0.1441650390625	0.7227783203125	0.0	-15.75	-19.17	-42.78576550519463	-1.4928738836425204	42.78576550519463	2.97207517831189	615.9405869757569	0.001	1e-05	0.002	0.069464111328125	1.2746966602084917
2014-02-02_00:15:48_490300	316768.71875	296	-4.0	102.0	-170.0	-3.9389312977099236	15.206106870229007	-4.8396946564885495	-0.5093994140625	0.1474609375	0.717041015625	0.0	-15.49	-12.04	-66.32887467034904	-2.31433617133109	66.32887467034904	7.415041005412716	351.47421743391106	0.001	1e-05	0.002	0.06698388671875	0.7693514599482253
2014-02-02_00:15:48_557651	323525.8125	298	95.0	137.0	-188.0	-4.564885496183206	14.740458015267176	0.2595419847328244	-0.80859375	-0.1397705078125	1.325927734375	0.0	-18.05	-16.62	-86.97108769584824	-3.0345808686618367	86.97108769584824	13.241148388127733	308.14325952922235	0.001	1e-05	0.002	0.066989013671875	0.7033900182381742
2014-02-02_00:15:48_624930	330258.515625	301	58.0	157.0	-158.0	-7.587786259541985	13.450381679389313	-1.16793893129771	-0.8399658203125	-0.1114501953125	0.938720703125	0.0	-22.42	-19.46	-103.89881855970582	-3.625220466144655	103.89881855970582	20.243715685302906	251.1609189905189	0.001	1e-05	0.002	0.06739794921875	0.6064230936975966
2014-02-02_00:15:48_692321	337000.421875	301	52.0	130.0	-296.0	0.2900763358778626	5.732824427480916	-2.572519083969466	-0.42431640625	0.1990966796875	1.3397216796875	0.0	-11.86	-15.67	-104.613071659674	-3.650142067678786	104.613071659674	27.260325875207023	10.649046862775426	0.001	1e-05	0.002	0.067072021484375	0.12618376864397693
2014-02-02_00:15:48_759551	343715.90625	299	19.0	86.0	-224.0	-2.1374045801526718	-8.312977099236642	2.5877862595419847	-0.323486328125	0.00048828125	0.1485595703125	0.0	-10.51	-10.06	-80.8504524186679	-2.8210206705745953	80.8504524186679	32.67181877862193	-355.02560025081164	0.001	1e-05	0.002	0.06693212890625	-0.6288740298951692
2014-02-02_00:15:48_826677	350406.21875	296	78.0	123.0	-184.0	-4.793893129770993	-13.450381679389313	3.7099236641221376	-0.794677734375	-0.488037109375	1.3099365234375	0.0	-16.89	-14.74	-51.29712730930371	-1.7898509179798923	51.29712730930371	36.09573921825257	-442.7674962890899	0.001	1e-05	0.002	0.066746826171875	-0.8338769078766936
2014-02-02_00:15:48_893993	357138.296875	291	-12.0	98.0	-157.0	-6.0458015267175576	-23.633587786259543	2.450381679389313	-0.43896484375	0.0379638671875	1.4427490234375	0.0	-15.99	-11.54	-6.978117612326774	-0.24347933050686582	6.978117612326774	36.56264445438224	-662.3683741286402	0.001	1e-05	0.002	0.066909912109375	-1.3173930042004098
2014-02-02_00:15:48_962390	363986.421875	285	60.0	84.0	-267.0	-1.6946564885496183	-29.33587786259542	3.099236641221374	-0.1307373046875	0.2454833984375	-0.0450439453125	0.0	-8.74	-9.82	44.465995405706856	1.5515001886150332	-44.465995405706856	33.5292623981669	-754.1132803971991	0.001	1e-05	0.002	0.068218017578125	-1.5523572635761236
2014-02-02_00:15:49_029994	370763.296875	279	23.0	53.0	-173.0	-1.5572519083969465	-29.061068702290076	5.656488549618321	-0.4412841796875	0.1112060546875	1.1005859375	0.0	-8.52	-6.12	89.56672623528242	3.1251474611054575	-89.56672623528242	27.50725580518854	-670.7938207729344	0.001	1e-05	0.002	0.06723486328125	-1.4308792952230993
