datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-02-01_22:30:25_348646	302967.71875	18.0	63.0	156.0	-221.0	0.0	0	0	0	0	0
2014-02-01_22:30:25_385240	306585.90625	25.0	60.0	156.0	-219.0	0.0	2.096004715936004	0.08067315416797534	54.45722080084409	0.038489013671875	54.667628003979374
2014-02-01_22:30:25_420469	310131.3125	25.0	62.0	157.0	-218.0	0.0	3.928250305538295	0.21898669397870113	52.0377058314449	0.0352099609375	52.43272072893852
2014-02-01_22:30:25_455610	313622.8125	25.0	61.0	158.0	-215.0	0.0	5.594816702234012	0.41559887926587546	47.423985944697186	0.035141845703125	47.987623603713246
2014-02-01_22:30:25_490665	317151.125	25.0	60.0	155.0	-217.0	0.0	7.08908171950567	0.6633480933532969	42.75681300163268	0.034947998046875	43.47235465451678
2014-02-01_22:30:25_525672	320650.71875	25.0	62.0	159.0	-217.0	0.0	8.454752838175922	0.958731892339784	39.089522872310326	0.03493701171875	39.94458547505132
2014-02-01_22:30:25_560725	324157.5	25.0	61.0	155.0	-218.0	0.0	9.657913230963343	1.2955233216019617	34.50212109592312	0.0348720703125	35.480867652235474
2014-02-01_22:30:25_595842	327646.609375	25.0	63.0	158.0	-220.0	0.0	10.757484324125665	1.6702388571070772	31.566929249438374	0.0348330078125	32.65938007042201
2014-02-01_22:30:25_632963	331359.0	25.0	60.0	152.0	-218.0	0.0	11.703557840217456	2.1031762058355707	25.575123396484788	0.036991943359375	26.76651094256489
2014-02-01_22:30:25_668501	334912.109375	25.0	61.0	157.0	-219.0	0.0	12.60361719372737	2.5511831025489324	25.321046676945834	0.0355458984375	26.60692022734406
2014-02-01_22:30:25_704032	338464.90625	25.0	62.0	158.0	-218.0	0.0	13.4407200949818	3.0219987955440235	23.897389050231382	0.035029052734375	25.271681047685004
2014-02-01_22:30:25_739179	341979.90625	25.0	62.0	156.0	-218.0	0.0	14.137054382738066	3.522010808601066	19.687758368822347	0.035368896484375	21.136683915182164
2014-02-01_22:30:25_774259	345487.71875	25.0	60.0	158.0	-219.0	0.0	14.77328630432619	4.037954127094122	18.217575451942718	0.034924072265625	19.73528362364628
2014-02-01_22:30:25_809397	349001.5	25.0	61.0	155.0	-216.0	0.0	15.343970606176901	4.576034510377823	16.273708213568234	0.03506787109375	17.853865619289703
2014-02-01_22:30:25_844444	352506.703125	25.0	59.0	155.0	-220.0	0.0	15.853336278673156	5.1283777510167114	14.619795628448724	0.0348408203125	16.256413033826206
2014-02-01_22:30:25_879578	356019.8125	25.0	62.0	156.0	-219.0	0.0	16.30997429526921	5.699537441681952	13.039705768188611	0.03501904296875	14.727698572132352
2014-02-01_22:30:25_914787	359541.203125	25.0	62.0	156.0	-220.0	0.0	16.70810442685121	6.28512468465204	11.359536762121486	0.035048095703125	13.093198451653128
2014-02-01_22:30:25_949804	363042.71875	25.0	62.0	157.0	-222.0	0.0	17.091231996247892	6.884014639419	10.933765244510129	0.035040771484375	12.711728590529109
2014-02-01_22:30:25_985022	366564.328125	25.0	63.0	157.0	-217.0	0.0	17.469069810111034	7.493389191064136	10.831556929076845	0.034883056640625	12.65339780199859
2014-02-01_22:30:26_020005	370066.625	25.0	61.0	158.0	-216.0	0.0	17.796835793894715	8.118802848537037	9.326942772232785	0.035141845703125	11.187814380107627
2014-02-01_22:30:26_055157	373577.71875	25.0	61.0	156.0	-221.0	0.0	18.05939650704512	8.748478803652674	7.530362224304533	0.034866943359375	9.423786663045572
2014-02-01_22:30:26_090298	377092.5	25.0	62.0	157.0	-218.0	0.0	18.32544782471507	9.389372865040029	7.607356401623203	0.034972900390625	9.53379491274511
2014-02-01_22:30:26_125292	380591.203125	25.0	60.0	156.0	-216.0	0.0	18.56943364623065	10.040395628963946	6.959324273005157	0.035058837890625	8.916671593917862
2014-02-01_22:30:26_160393	384101.921875	25.0	62.0	157.0	-216.0	0.0	18.7889245599677	10.69460891798202	6.3037518329742905	0.034819091796875	8.28959037815088
2014-02-01_22:30:26_195459	387607.71875	25.0	61.0	157.0	-221.0	0.0	18.941304331416212	11.357540696555954	4.353798864743997	0.034999267578125	6.3615047048511775
2014-02-01_22:30:26_230437	391109.421875	25.0	62.0	158.0	-218.0	0.0	19.120103967522272	12.026342887923821	5.111627437570122	0.03497900390625	7.143901263201587
2014-02-01_22:30:26_265755	394638.109375	25.0	61.0	157.0	-219.0	0.0	19.257279419376182	12.699233415838709	3.925788662853734	0.034942138671875	5.978508938949739
2014-02-01_22:30:26_300795	398145.3125	25.0	62.0	157.0	-220.0	0.0	19.374430613169167	13.380285330627755	3.3326940664944233	0.035152099609375	5.403939981117618
