datetime	speed	x	y	z	d	speed_real
2014-01-12_13:22:32_076091	0.2	0.0	0.0	0.0	0.0	220
2014-01-12_13:22:32_180232	0.4	0.0	0.0	0.0	0.0	221
2014-01-12_13:22:32_284508	0.6	0.0	0.0	0.0	0.0	222
2014-01-12_13:22:32_388748	0.8	7.0	140.0	-219.0	0.0	223
2014-01-12_13:22:32_494542	1.0	7.0	140.0	-219.0	0.0	223
2014-01-12_13:22:32_598987	1.2	7.0	140.0	-219.0	0.0	224
2014-01-12_13:22:32_703121	1.4	6.0	130.0	-238.0	0.0	225
2014-01-12_13:22:32_807696	1.6	6.0	130.0	-238.0	0.0	226
2014-01-12_13:22:32_911809	1.8	6.0	130.0	-238.0	0.0	226
2014-01-12_13:22:33_016212	2.0	23.0	173.0	-238.0	0.0	227
2014-01-12_13:22:33_120272	2.2	23.0	173.0	-238.0	0.0	228
2014-01-12_13:22:33_224737	2.4	23.0	173.0	-238.0	0.0	229
2014-01-12_13:22:33_328883	2.6	-9.0	138.0	-244.0	0.0	229
2014-01-12_13:22:33_433321	2.8	-9.0	138.0	-244.0	0.0	230
2014-01-12_13:22:33_537461	3.0	-9.0	138.0	-244.0	0.0	231
2014-01-12_13:22:33_641826	3.2	47.0	182.0	-220.0	0.0	232
2014-01-12_13:22:33_745875	3.4	47.0	182.0	-220.0	0.0	232
2014-01-12_13:22:33_850899	3.6	47.0	182.0	-220.0	0.0	233
2014-01-12_13:22:33_955763	3.8	21.0	164.0	-209.0	0.0	234
2014-01-12_13:22:34_060244	4.0	21.0	164.0	-209.0	0.0	235
2014-01-12_13:22:34_165530	4.2	21.0	164.0	-209.0	0.0	235
2014-01-12_13:22:34_271066	4.4	5.0	129.0	-231.0	0.0	236
2014-01-12_13:22:34_375559	4.6	5.0	129.0	-231.0	0.0	237
2014-01-12_13:22:34_480279	4.8	5.0	129.0	-231.0	0.0	238
2014-01-12_13:22:34_585119	5.0	40.0	144.0	-194.0	0.0	239
2014-01-12_13:22:34_689810	5.2	40.0	144.0	-194.0	0.0	239
2014-01-12_13:22:34_794459	5.4	40.0	144.0	-194.0	0.0	240
2014-01-12_13:22:34_898555	5.6	14.0	168.0	-229.0	0.0	241
2014-01-12_13:22:35_003042	5.8	14.0	168.0	-229.0	0.0	242
2014-01-12_13:22:35_107191	6.0	14.0	168.0	-229.0	0.0	242
2014-01-12_13:22:35_211249	6.2	-44.0	141.0	-211.0	0.0	243
2014-01-12_13:22:35_315647	6.4	-44.0	141.0	-211.0	0.0	244
2014-01-12_13:22:35_419733	6.6	-44.0	141.0	-211.0	0.0	245
2014-01-12_13:22:35_523764	6.8	45.0	162.0	-215.0	0.0	245
