datetime	x	y	z	d	speed	speed_real
2014-01-04_16:49:20_362699	39.0	164.0	-210.0	0.0	0.1	220
2014-01-04_16:49:20_371667	35.0	130.0	-209.0	0.0	0.2	220
2014-01-04_16:49:20_380028	32.0	152.0	-228.0	0.0	0.3	221
2014-01-04_16:49:20_388322	32.0	152.0	-228.0	0.0	0.4	221
2014-01-04_16:49:20_396577	48.0	153.0	-235.0	0.0	0.5	221
2014-01-04_16:49:20_404828	11.0	136.0	-202.0	0.0	0.6	222
2014-01-04_16:49:20_413088	27.0	159.0	-210.0	0.0	0.7	222
2014-01-04_16:49:20_421348	34.0	138.0	-218.0	0.0	0.8	223
2014-01-04_16:49:20_429675	21.0	155.0	-243.0	0.0	0.9	223
2014-01-04_16:49:20_438036	66.0	141.0	-242.0	0.0	1.0	223
2014-01-04_16:49:20_446378	66.0	141.0	-242.0	0.0	1.1	224
2014-01-04_16:49:20_454614	44.0	140.0	-188.0	0.0	1.2	224
2014-01-04_16:49:20_463036	54.0	173.0	-219.0	0.0	1.3	224
2014-01-04_16:49:20_471328	10.0	145.0	-222.0	0.0	1.4	225
2014-01-04_16:49:20_480462	54.0	167.0	-243.0	0.0	1.5	225
2014-01-04_16:49:20_490468	20.0	156.0	-237.0	0.0	1.6	226
2014-01-04_16:49:20_499327	15.0	152.0	-208.0	0.0	1.7	226
2014-01-04_16:49:20_507548	29.0	169.0	-214.0	0.0	1.8	226
2014-01-04_16:49:20_516061	66.0	106.0	-210.0	0.0	1.9	227
2014-01-04_16:49:20_524329	66.0	106.0	-210.0	0.0	2.0	227
2014-01-04_16:49:20_532555	-17.0	182.0	-228.0	0.0	2.1	227
2014-01-04_16:49:20_541384	62.0	135.0	-217.0	0.0	2.2	228
2014-01-04_16:49:20_550223	38.0	162.0	-224.0	0.0	2.3	228
2014-01-04_16:49:20_558457	39.0	143.0	-230.0	0.0	2.4	229
2014-01-04_16:49:20_566662	32.0	152.0	-187.0	0.0	2.5	229
2014-01-04_16:49:20_575881	42.0	165.0	-216.0	0.0	2.6	229
2014-01-04_16:49:20_584834	25.0	131.0	-214.0	0.0	2.7	230
2014-01-04_16:49:20_593572	42.0	184.0	-239.0	0.0	2.8	230
2014-01-04_16:49:20_601864	42.0	184.0	-239.0	0.0	2.9	231
2014-01-04_16:49:20_610139	48.0	148.0	-206.0	0.0	3.0	231
2014-01-04_16:49:20_618425	62.0	160.0	-239.0	0.0	3.1	231
2014-01-04_16:49:20_626690	58.0	138.0	-230.0	0.0	3.2	232
2014-01-04_16:49:20_634948	-6.0	163.0	-216.0	0.0	3.3	232
2014-01-04_16:49:20_643390	72.0	145.0	-244.0	0.0	3.4	232
2014-01-04_16:49:20_651964	19.0	150.0	-200.0	0.0	3.5	233
2014-01-04_16:49:20_660211	19.0	150.0	-200.0	0.0	3.6	233
2014-01-04_16:49:20_668479	42.0	166.0	-240.0	0.0	3.7	234
2014-01-04_16:49:20_676759	22.0	157.0	-209.0	0.0	3.8	234
2014-01-04_16:49:20_684964	11.0	178.0	-222.0	0.0	3.9	234
2014-01-04_16:49:20_693278	-13.0	144.0	-206.0	0.0	4.0	235
2014-01-04_16:49:20_701517	50.0	182.0	-234.0	0.0	4.1	235
2014-01-04_16:49:20_710754	50.0	182.0	-234.0	0.0	4.2	235
2014-01-04_16:49:20_720753	-23.0	185.0	-235.0	0.0	4.3	236
2014-01-04_16:49:20_729760	32.0	160.0	-189.0	0.0	4.4	236
2014-01-04_16:49:20_738164	32.0	160.0	-189.0	0.0	4.5	237
2014-01-04_16:49:20_747375	56.0	183.0	-237.0	0.0	4.6	237
2014-01-04_16:49:20_755639	19.0	126.0	-202.0	0.0	4.7	237
