datetime	x	y	z	d	speed	speed_real
2014-01-04_13:56:01_836980	202.0	202.0	-256.0	14.77	0.1	220
2014-01-04_13:56:01_847575	104.0	260.0	-200.0	14.55	0.2	220
2014-01-04_13:56:01_858141	0.0	256.0	-248.0	15.2	0.3	221
2014-01-04_13:56:01_867913	110.0	304.0	-200.0	13.84	0.4	221
2014-01-04_13:56:01_877671	156.0	170.0	-294.0	13.8	0.5	221
2014-01-04_13:56:01_887598	48.0	146.0	-106.0	13.8	0.6	222
2014-01-04_13:56:01_897445	136.0	152.0	-256.0	15.83	0.7	222
2014-01-04_13:56:01_907267	206.0	160.0	-278.0	14.96	0.8	223
2014-01-04_13:56:01_917110	20.0	98.0	-194.0	15.27	0.9	223
2014-01-04_13:56:01_927253	22.0	138.0	-146.0	20.65	1.0	223
2014-01-04_13:56:01_937088	-86.0	62.0	-258.0	13.92	1.1	224
2014-01-04_13:56:01_947045	-212.0	188.0	-254.0	15.18	1.2	224
2014-01-04_13:56:01_956926	-28.0	128.0	-300.0	14.7	1.3	224
2014-01-04_13:56:01_966733	12.0	132.0	-192.0	15.16	1.4	225
2014-01-04_13:56:01_976598	126.0	160.0	-300.0	14.02	1.5	225
2014-01-04_13:56:01_986384	80.0	210.0	-180.0	13.82	1.6	226
2014-01-04_13:56:01_996143	40.0	146.0	-334.0	13.72	1.7	226
2014-01-04_13:56:02_005943	-74.0	138.0	-222.0	14.69	1.8	226
2014-01-04_13:56:02_015810	-210.0	232.0	-144.0	15.08	1.9	227
2014-01-04_13:56:02_025594	-94.0	134.0	-146.0	13.84	2.0	227
2014-01-04_13:56:02_035710	302.0	132.0	-224.0	20.47	2.1	227
2014-01-04_13:56:02_045503	-138.0	174.0	-226.0	13.95	2.2	228
2014-01-04_13:56:02_055489	-386.0	150.0	-198.0	13.65	2.3	228
2014-01-04_13:56:02_065282	-182.0	96.0	-316.0	13.5	2.4	229
2014-01-04_13:56:02_075176	-80.0	220.0	-180.0	15.94	2.5	229
2014-01-04_13:56:02_084930	262.0	76.0	-218.0	13.31	2.6	229
2014-01-04_13:56:02_094754	190.0	100.0	-346.0	14.18	2.7	230
2014-01-04_13:56:02_104585	348.0	186.0	-232.0	13.97	2.8	230
2014-01-04_13:56:02_114335	-306.0	352.0	-262.0	13.41	2.9	231
2014-01-04_13:56:02_124089	-278.0	246.0	-126.0	13.55	3.0	231
2014-01-04_13:56:02_133830	-116.0	248.0	-330.0	13.84	3.1	231
2014-01-04_13:56:02_143699	288.0	-128.0	-202.0	13.26	3.2	232
2014-01-04_13:56:02_153549	252.0	124.0	-218.0	15.98	3.3	232
2014-01-04_13:56:02_163308	132.0	64.0	-196.0	14.3	3.4	232
2014-01-04_13:56:02_173461	194.0	130.0	-282.0	17.22	3.5	233
2014-01-04_13:56:02_183342	30.0	120.0	-222.0	14.09	3.6	233
2014-01-04_13:56:02_193111	196.0	110.0	-220.0	13.74	3.7	234
2014-01-04_13:56:02_203130	106.0	116.0	-98.0	14.18	3.8	234
2014-01-04_13:56:02_212919	254.0	32.0	-316.0	13.7	3.9	234
2014-01-04_13:56:02_222734	-22.0	222.0	-104.0	13.79	4.0	235
2014-01-04_13:56:02_232508	-10.0	140.0	-192.0	13.12	4.1	235
2014-01-04_13:56:02_242294	64.0	26.0	-138.0	13.89	4.2	235
2014-01-04_13:56:02_252054	192.0	102.0	-162.0	13.36	4.3	236
2014-01-04_13:56:02_262220	186.0	262.0	-156.0	13.36	4.4	236
2014-01-04_13:56:02_272042	30.0	-14.0	-416.0	13.92	4.5	237
2014-01-04_13:56:02_281804	104.0	318.0	-128.0	13.46	4.6	237
2014-01-04_13:56:02_291601	82.0	234.0	-332.0	14.11	4.7	237
2014-01-04_13:56:02_301455	142.0	158.0	-162.0	13.97	4.8	238
2014-01-04_13:56:02_311397	128.0	286.0	-274.0	13.24	4.9	238
2014-01-04_13:56:02_321234	-64.0	-68.0	-98.0	13.85	5.0	239
2014-01-04_13:56:02_330994	80.0	188.0	-254.0	13.91	5.1	239
2014-01-04_13:56:02_340712	-234.0	146.0	-128.0	13.34	5.2	239
2014-01-04_13:56:02_350526	-140.0	176.0	-266.0	13.65	5.3	240
2014-01-04_13:56:02_360377	-214.0	256.0	-154.0	13.41	5.4	240
2014-01-04_13:56:02_370230	0.0	56.0	-296.0	14.6	5.5	240
2014-01-04_13:56:02_380115	216.0	164.0	-326.0	14.69	5.6	241
2014-01-04_13:56:02_389961	188.0	214.0	-28.0	14.3	5.7	241
2014-01-04_13:56:02_399770	-50.0	240.0	-168.0	13.74	5.8	242
2014-01-04_13:56:02_409518	-26.0	54.0	-78.0	13.33	5.9	242
2014-01-04_13:56:02_419358	72.0	226.0	-242.0	13.82	6.0	242
2014-01-04_13:56:02_429205	32.0	206.0	-274.0	13.78	6.1	243
2014-01-04_13:56:02_438935	38.0	232.0	-66.0	13.58	6.2	243
2014-01-04_13:56:02_448656	100.0	94.0	-366.0	13.84	6.3	243
2014-01-04_13:56:02_458546	-26.0	86.0	-298.0	13.38	6.4	244
2014-01-04_13:56:02_468380	-26.0	-168.0	-376.0	13.72	6.5	244
2014-01-04_13:56:02_478233	-122.0	278.0	-192.0	14.38	6.6	245
2014-01-04_13:56:02_488061	110.0	8.0	-84.0	14.13	6.7	245
2014-01-04_13:56:02_497819	250.0	322.0	-448.0	13.46	6.8	245
