datetime	reltime	speed	x	y	z	d	speed_real
2014-01-12_13:37:09_890246	-791.3125	0.2	95.0	158.0	-300.0	0.0	220
2014-01-12_13:37:09_996350	-11347.703125	0.4	35.0	103.0	-53.0	0.0	221
2014-01-12_13:37:10_100722	-21784.21875	0.6	19.0	148.0	-272.0	0.0	222
2014-01-12_13:37:10_205631	-32286.21875	0.8	16.0	157.0	-224.0	0.0	223
2014-01-12_13:37:10_310117	-42728.015625	1.0	17.0	146.0	-223.0	0.0	223
2014-01-12_13:37:10_414207	-53139.90625	1.2	11.0	154.0	-229.0	0.0	224
2014-01-12_13:37:10_519352	-63647.421875	1.4	11.0	154.0	-229.0	0.0	225
2014-01-12_13:37:10_623842	-74095.828125	1.6	10.0	151.0	-224.0	0.0	226
2014-01-12_13:37:10_728610	-84573.109375	1.8	12.0	153.0	-221.0	0.0	226
2014-01-12_13:37:10_832766	-94989.109375	2.0	16.0	147.0	-224.0	0.0	227
2014-01-12_13:37:10_937881	-105501.515625	2.2	13.0	152.0	-230.0	0.0	228
2014-01-12_13:37:11_042888	-116000.921875	2.4	11.0	152.0	-226.0	0.0	229
2014-01-12_13:37:11_147686	-126491.21875	2.6	14.0	152.0	-227.0	0.0	229
2014-01-12_13:37:11_252884	-137011.609375	2.8	11.0	152.0	-224.0	0.0	230
2014-01-12_13:37:11_358214	-147538.625	3.0	11.0	152.0	-223.0	0.0	231
2014-01-12_13:37:11_462708	-157982.203125	3.2	14.0	153.0	-226.0	0.0	232
2014-01-12_13:37:11_567726	-168490.609375	3.4	11.0	152.0	-226.0	0.0	232
2014-01-12_13:37:11_672728	-178985.40625	3.6	11.0	151.0	-226.0	0.0	233
2014-01-12_13:37:11_777883	-189501.3125	3.8	13.0	151.0	-225.0	0.0	234
2014-01-12_13:37:11_882281	-199939.703125	4.0	12.0	152.0	-228.0	0.0	235
2014-01-12_13:37:11_987135	-210426.90625	4.2	13.0	152.0	-229.0	0.0	235
2014-01-12_13:37:12_092047	-220917.515625	4.4	12.0	152.0	-225.0	0.0	236
2014-01-12_13:37:12_196405	-231352.3125	4.6	12.0	150.0	-227.0	0.0	237
2014-01-12_13:37:12_300651	-241834.03125	4.8	12.0	152.0	-225.0	0.0	238
2014-01-12_13:37:12_406371	-252357.109375	5.0	12.0	150.0	-227.0	0.0	239
2014-01-12_13:37:12_510850	-262796.90625	5.2	12.0	151.0	-225.0	0.0	239
2014-01-12_13:37:12_615807	-273292.71875	5.4	13.0	153.0	-225.0	0.0	240
2014-01-12_13:37:12_720780	-283790.21875	5.6	12.0	150.0	-226.0	0.0	241
2014-01-12_13:37:12_825216	-294240.21875	5.8	13.0	153.0	-226.0	0.0	242
2014-01-12_13:37:12_929669	-304678.328125	6.0	12.0	151.0	-226.0	0.0	242
2014-01-12_13:37:13_033362	-315048.125	6.2	12.0	150.0	-227.0	0.0	243
2014-01-12_13:37:13_138639	-325608.421875	6.4	12.0	151.0	-227.0	0.0	244
2014-01-12_13:37:13_243374	-336049.234375	6.6	13.0	152.0	-224.0	0.0	245
2014-01-12_13:37:13_347615	-346472.8125	6.8	12.0	150.0	-227.0	0.0	245
2014-01-12_13:37:13_451794	-356890.703125	7.0	12.0	152.0	-227.0	0.0	246
2014-01-12_13:37:13_555947	-367306.015625	7.2	12.0	152.0	-225.0	0.0	247
2014-01-12_13:37:13_659686	-377680.8125	7.4	12.0	151.0	-227.0	0.0	248
2014-01-12_13:37:13_764651	-388177.109375	7.6	12.0	151.0	-226.0	0.0	248
2014-01-12_13:37:13_869695	-398682.03125	7.8	14.0	151.0	-227.0	0.0	249
2014-01-12_13:37:13_974653	-409184.71875	8.0	13.0	150.0	-228.0	0.0	250
2014-01-12_13:37:14_079572	-419669.609375	8.2	11.0	148.0	-227.0	0.0	251
2014-01-12_13:37:14_184498	-430162.125	8.4	12.0	152.0	-225.0	0.0	251
2014-01-12_13:37:14_289766	-440689.8125	8.6	12.0	151.0	-224.0	0.0	252
2014-01-12_13:37:14_393991	-451112.234375	8.8	12.0	150.0	-225.0	0.0	253
2014-01-12_13:37:14_498339	-461545.421875	9.0	13.0	151.0	-224.0	0.0	254
2014-01-12_13:37:14_602445	-471957.609375	9.2	14.0	153.0	-226.0	0.0	254
2014-01-12_13:37:14_706275	-482339.90625	9.4	11.0	152.0	-225.0	0.0	255
2014-01-12_13:37:14_810201	-492732.71875	9.6	13.0	151.0	-225.0	0.0	256
2014-01-12_13:37:14_913935	-503105.53125	9.8	12.0	149.0	-227.0	0.0	257
2014-01-12_13:37:15_017656	-513477.421875	10.0	11.0	151.0	-225.0	0.0	258
2014-01-12_13:37:15_121920	-523906.921875	10.2	13.0	151.0	-226.0	0.0	258
2014-01-12_13:37:15_226171	-534329.203125	10.4	13.0	152.0	-225.0	0.0	259
2014-01-12_13:37:15_330429	-544754.71875	10.6	12.0	153.0	-225.0	0.0	260
2014-01-12_13:37:15_434632	-555174.8125	10.8	11.0	152.0	-225.0	0.0	261
2014-01-12_13:37:15_538854	-565597.515625	11.0	12.0	153.0	-227.0	0.0	261
2014-01-12_13:37:15_642581	-575970.515625	11.2	12.0	153.0	-226.0	0.0	262
2014-01-12_13:37:15_746835	-586395.5	11.4	12.0	150.0	-225.0	0.0	263
2014-01-12_13:37:15_851044	-596816.015625	11.6	13.0	154.0	-224.0	0.0	264
2014-01-12_13:37:15_955241	-607241.828125	11.8	12.0	150.0	-226.0	0.0	264
2014-01-12_13:37:16_059524	-617664.90625	12.0	11.0	152.0	-225.0	0.0	265
