datetime	speed	x	y	z	d	speed_real
2014-01-12_13:23:54_912891	0.2	14.0	157.0	-243.0	0.0	220
2014-01-12_13:23:55_018061	0.4	14.0	157.0	-243.0	0.0	221
2014-01-12_13:23:55_123223	0.6	-9.0	144.0	-191.0	0.0	222
2014-01-12_13:23:55_228240	0.8	31.0	137.0	-247.0	0.0	223
2014-01-12_13:23:55_333426	1.0	31.0	137.0	-247.0	0.0	223
2014-01-12_13:23:55_438985	1.2	29.0	119.0	-244.0	0.0	224
2014-01-12_13:23:55_544246	1.4	28.0	140.0	-213.0	0.0	225
2014-01-12_13:23:55_649387	1.6	28.0	140.0	-213.0	0.0	226
2014-01-12_13:23:55_754653	1.8	43.0	173.0	-249.0	0.0	226
2014-01-12_13:23:55_860225	2.0	-3.0	156.0	-234.0	0.0	227
2014-01-12_13:23:55_965260	2.2	-3.0	156.0	-234.0	0.0	228
2014-01-12_13:23:56_070467	2.4	12.0	155.0	-271.0	0.0	229
2014-01-12_13:23:56_175442	2.6	30.0	156.0	-253.0	0.0	229
2014-01-12_13:23:56_280471	2.8	30.0	156.0	-253.0	0.0	230
2014-01-12_13:23:56_385475	3.0	28.0	177.0	-233.0	0.0	231
2014-01-12_13:23:56_490450	3.2	13.0	162.0	-264.0	0.0	232
2014-01-12_13:23:56_595655	3.4	13.0	162.0	-264.0	0.0	232
2014-01-12_13:23:56_701115	3.6	11.0	157.0	-238.0	0.0	233
2014-01-12_13:23:56_806157	3.8	14.0	152.0	-225.0	0.0	234
2014-01-12_13:23:56_911542	4.0	14.0	152.0	-225.0	0.0	235
2014-01-12_13:23:57_016952	4.2	-14.0	152.0	-191.0	0.0	235
2014-01-12_13:23:57_121973	4.4	13.0	152.0	-223.0	0.0	236
2014-01-12_13:23:57_227446	4.6	13.0	152.0	-223.0	0.0	237
2014-01-12_13:23:57_332747	4.8	-6.0	135.0	-218.0	0.0	238
2014-01-12_13:23:57_438477	5.0	-21.0	136.0	-230.0	0.0	239
2014-01-12_13:23:57_543775	5.2	75.0	130.0	-235.0	0.0	239
2014-01-12_13:23:57_649004	5.4	75.0	130.0	-235.0	0.0	240
2014-01-12_13:23:57_754237	5.6	17.0	136.0	-205.0	0.0	241
2014-01-12_13:23:57_859216	5.8	24.0	142.0	-276.0	0.0	242
2014-01-12_13:23:57_964263	6.0	24.0	142.0	-276.0	0.0	242
2014-01-12_13:23:58_069277	6.2	19.0	23.0	-370.0	0.0	243
2014-01-12_13:23:58_174195	6.4	-26.0	130.0	-218.0	0.0	244
2014-01-12_13:23:58_279249	6.6	-26.0	130.0	-218.0	0.0	245
2014-01-12_13:23:58_384277	6.8	18.0	155.0	-239.0	0.0	245
2014-01-12_13:23:58_489525	7.0	10.0	136.0	-199.0	0.0	246
2014-01-12_13:23:58_594543	7.2	10.0	136.0	-199.0	0.0	247
2014-01-12_13:23:58_699761	7.4	3.0	141.0	-201.0	0.0	248
2014-01-12_13:23:58_805038	7.6	-42.0	160.0	-276.0	0.0	248
2014-01-12_13:23:58_910168	7.8	-42.0	160.0	-276.0	0.0	249
2014-01-12_13:23:59_015658	8.0	36.0	157.0	-224.0	0.0	250
2014-01-12_13:23:59_120626	8.2	8.0	168.0	-260.0	0.0	251
2014-01-12_13:23:59_226171	8.4	8.0	168.0	-260.0	0.0	251
2014-01-12_13:23:59_331682	8.6	49.0	173.0	-232.0	0.0	252
2014-01-12_13:23:59_436668	8.8	47.0	168.0	-199.0	0.0	253
2014-01-12_13:23:59_541674	9.0	47.0	168.0	-199.0	0.0	254
2014-01-12_13:23:59_646662	9.2	21.0	136.0	-219.0	0.0	254
2014-01-12_13:23:59_752245	9.4	10.0	149.0	-206.0	0.0	255
2014-01-12_13:23:59_856685	9.6	10.0	149.0	-206.0	0.0	256
2014-01-12_13:23:59_960896	9.8	-62.0	59.0	-177.0	0.0	257
2014-01-12_13:24:00_066335	10.0	11.0	122.0	-235.0	0.0	258
