datetime	speed	x	y	z	d	speed_real
2014-01-05_19:49:12_570890	0.2	28.0	151.0	-234.0	0.0	220
2014-01-05_19:49:12_675884	0.4	28.0	151.0	-234.0	0.0	221
2014-01-05_19:49:12_780949	0.6	28.0	151.0	-234.0	0.0	222
2014-01-05_19:49:12_885863	0.8	31.0	151.0	-211.0	0.0	223
2014-01-05_19:49:12_990519	1.0	31.0	151.0	-211.0	0.0	223
2014-01-05_19:49:13_096522	1.2	31.0	151.0	-211.0	0.0	224
2014-01-05_19:49:13_202314	1.4	35.0	156.0	-235.0	0.0	225
2014-01-05_19:49:13_306790	1.6	35.0	156.0	-235.0	0.0	226
2014-01-05_19:49:13_411661	1.8	35.0	156.0	-235.0	0.0	226
2014-01-05_19:49:13_516169	2.0	5.0	136.0	-195.0	0.0	227
2014-01-05_19:49:13_620282	2.2	5.0	136.0	-195.0	0.0	228
2014-01-05_19:49:13_724622	2.4	5.0	136.0	-195.0	0.0	229
2014-01-05_19:49:13_828731	2.6	8.0	145.0	-233.0	0.0	229
2014-01-05_19:49:13_933190	2.8	8.0	145.0	-233.0	0.0	230
2014-01-05_19:49:14_038420	3.0	8.0	145.0	-233.0	0.0	231
2014-01-05_19:49:14_144104	3.2	62.0	167.0	-221.0	0.0	232
2014-01-05_19:49:14_249759	3.4	62.0	167.0	-221.0	0.0	232
2014-01-05_19:49:14_354222	3.6	62.0	167.0	-221.0	0.0	233
2014-01-05_19:49:14_459207	3.8	15.0	140.0	-238.0	0.0	234
2014-01-05_19:49:14_563570	4.0	15.0	140.0	-238.0	0.0	235
2014-01-05_19:49:14_667719	4.2	15.0	140.0	-238.0	0.0	235
2014-01-05_19:49:14_772692	4.4	118.0	144.0	-366.0	0.0	236
2014-01-05_19:49:14_876997	4.6	118.0	144.0	-366.0	0.0	237
2014-01-05_19:49:14_981398	4.8	118.0	144.0	-366.0	0.0	238
2014-01-05_19:49:15_086606	5.0	18.0	149.0	-235.0	0.0	239
2014-01-05_19:49:15_190979	5.2	18.0	149.0	-235.0	0.0	239
2014-01-05_19:49:15_295005	5.4	18.0	149.0	-235.0	0.0	240
2014-01-05_19:49:15_399437	5.6	39.0	157.0	-221.0	0.0	241
2014-01-05_19:49:15_503516	5.8	39.0	157.0	-221.0	0.0	242
2014-01-05_19:49:15_607903	6.0	39.0	157.0	-221.0	0.0	242
2014-01-05_19:49:15_712847	6.2	-5.0	177.0	-250.0	0.0	243
2014-01-05_19:49:15_817266	6.4	-5.0	177.0	-250.0	0.0	244
2014-01-05_19:49:15_921403	6.6	-5.0	177.0	-250.0	0.0	245
2014-01-05_19:49:16_025873	6.8	90.0	166.0	-242.0	0.0	245
2014-01-05_19:49:16_129939	7.0	90.0	166.0	-242.0	0.0	246
2014-01-05_19:49:16_234386	7.2	90.0	166.0	-242.0	0.0	247
2014-01-05_19:49:16_338601	7.4	63.0	149.0	-245.0	0.0	248
2014-01-05_19:49:16_443041	7.6	63.0	149.0	-245.0	0.0	248
2014-01-05_19:49:16_547143	7.8	63.0	149.0	-245.0	0.0	249
2014-01-05_19:49:16_651485	8.0	32.0	192.0	-233.0	0.0	250
2014-01-05_19:49:16_755550	8.2	32.0	192.0	-233.0	0.0	251
2014-01-05_19:49:16_859886	8.4	32.0	192.0	-233.0	0.0	251
2014-01-05_19:49:16_965118	8.6	178.0	161.0	-234.0	0.0	252
2014-01-05_19:49:17_069920	8.8	178.0	161.0	-234.0	0.0	253
2014-01-05_19:49:17_174140	9.0	178.0	161.0	-234.0	0.0	254
2014-01-05_19:49:17_279102	9.2	117.0	205.0	-256.0	0.0	254
2014-01-05_19:49:17_383451	9.4	117.0	205.0	-256.0	0.0	255
2014-01-05_19:49:17_489620	9.6	117.0	205.0	-256.0	0.0	256
2014-01-05_19:49:17_595285	9.8	52.0	178.0	-285.0	0.0	257
2014-01-05_19:49:17_699622	10.0	52.0	178.0	-285.0	0.0	258
2014-01-05_19:49:17_804637	10.2	52.0	178.0	-285.0	0.0	258
2014-01-05_19:49:17_909031	10.4	46.0	118.0	-228.0	0.0	259
2014-01-05_19:49:18_013075	10.6	46.0	118.0	-228.0	0.0	260
2014-01-05_19:49:18_117300	10.8	46.0	118.0	-228.0	0.0	261
2014-01-05_19:49:18_221376	11.0	-159.0	-28.0	-184.0	0.0	261
