datetime	reltime	speed	x	y	z	d	speed_real
2014-01-12_14:32:06_545538	1083.765625	0.2	12.0	164.0	-218.0	18.12	220
2014-01-12_14:32:06_653613	11864.390625	0.4	25.0	162.0	-228.0	17.46	221
2014-01-12_14:32:06_761243	22627.984375	0.6	13.0	154.0	-227.0	17.39	222
2014-01-12_14:32:06_868546	33357.0	0.8	14.0	153.0	-225.0	17.12	223
2014-01-12_14:32:06_976487	44152.375	1.0	7.0	154.0	-227.0	18.14	223
2014-01-12_14:32:07_084245	54927.265625	1.2	17.0	160.0	-230.0	17.17	224
2014-01-12_14:32:07_191537	65656.484375	1.4	-1.0	161.0	-226.0	16.98	225
2014-01-12_14:32:07_299260	76432.390625	1.6	23.0	138.0	-229.0	17.96	226
2014-01-12_14:32:07_406935	87196.890625	1.8	15.0	164.0	-225.0	18.38	226
2014-01-12_14:32:07_514622	97965.59375	2.0	31.0	127.0	-223.0	17.49	227
2014-01-12_14:32:07_622453	108748.6875	2.2	17.0	130.0	-229.0	17.64	228
