datetime	speed	x	y	z	d
2014-01-04_21:11:59_884397	1388869919884.0	12.0	154.0	-204.0	0.0
2014-01-04_21:11:59_891383	1388869919891.0	18.0	166.0	-224.0	0.0
2014-01-04_21:11:59_898077	1388869919898.0	24.0	160.0	-224.0	0.0
2014-01-04_21:11:59_904758	1388869919904.0	30.0	168.0	-218.0	0.0
2014-01-04_21:11:59_911426	1388869919911.0	34.0	156.0	-226.0	0.0
2014-01-04_21:11:59_918105	1388869919918.0	8.0	168.0	-220.0	0.0
2014-01-04_21:11:59_924790	1388869919925.0	28.0	160.0	-212.0	0.0
2014-01-04_21:11:59_931475	1388869919931.0	32.0	162.0	-226.0	0.0
2014-01-04_21:11:59_938186	1388869919938.0	28.0	160.0	-226.0	0.0
2014-01-04_21:11:59_944905	1388869919945.0	24.0	156.0	-226.0	0.0
2014-01-04_21:11:59_951608	1388869919951.0	22.0	158.0	-224.0	0.0
2014-01-04_21:11:59_958292	1388869919958.0	16.0	162.0	-226.0	0.0
2014-01-04_21:11:59_964965	1388869919965.0	32.0	158.0	-208.0	0.0
2014-01-04_21:11:59_971633	1388869919971.0	38.0	160.0	-246.0	0.0
2014-01-04_21:11:59_978352	1388869919978.0	28.0	154.0	-208.0	0.0
2014-01-04_21:11:59_985039	1388869919985.0	42.0	142.0	-218.0	0.0
2014-01-04_21:11:59_991709	1388869919991.0	20.0	158.0	-224.0	0.0
2014-01-04_21:11:59_998398	1388869919998.0	30.0	160.0	-228.0	0.0
2014-01-04_21:12:00_005078	1388869920005.0	34.0	160.0	-238.0	0.0
2014-01-04_21:12:00_011767	1388869920012.0	24.0	164.0	-220.0	0.0
2014-01-04_21:12:00_018550	1388869920018.0	24.0	144.0	-226.0	0.0
2014-01-04_21:12:00_025223	1388869920025.0	40.0	132.0	-220.0	0.0
2014-01-04_21:12:00_031891	1388869920032.0	6.0	164.0	-228.0	0.0
2014-01-04_21:12:00_038580	1388869920038.0	24.0	166.0	-228.0	0.0
2014-01-04_21:12:00_045327	1388869920045.0	18.0	148.0	-212.0	0.0
2014-01-04_21:12:00_052173	1388869920052.0	24.0	168.0	-222.0	0.0
2014-01-04_21:12:00_058878	1388869920059.0	24.0	158.0	-226.0	0.0
2014-01-04_21:12:00_065551	1388869920065.0	34.0	166.0	-214.0	0.0
2014-01-04_21:12:00_072277	1388869920072.0	24.0	156.0	-212.0	0.0
2014-01-04_21:12:00_078956	1388869920079.0	30.0	160.0	-226.0	0.0
2014-01-04_21:12:00_085638	1388869920085.0	34.0	164.0	-218.0	0.0
