datetime	x	y	z	d	speed	speed_real
2014-01-04_16:43:09_108276	118.0	74.0	-316.0	14.26	0.1	220
2014-01-04_16:43:09_118948	126.0	4.0	-252.0	13.89	0.2	220
2014-01-04_16:43:09_129180	176.0	230.0	-304.0	14.18	0.3	221
2014-01-04_16:43:09_139292	152.0	198.0	-224.0	14.94	0.4	221
2014-01-04_16:43:09_149142	144.0	110.0	-228.0	13.97	0.5	221
2014-01-04_16:43:09_158972	60.0	178.0	-122.0	14.79	0.6	222
2014-01-04_16:43:09_168792	196.0	204.0	-272.0	14.87	0.7	222
2014-01-04_16:43:09_178570	258.0	108.0	-264.0	14.33	0.8	223
2014-01-04_16:43:09_188395	142.0	160.0	-158.0	14.08	0.9	223
2014-01-04_16:43:09_198220	76.0	192.0	-206.0	14.72	1.0	223
2014-01-04_16:43:09_209920	86.0	34.0	-228.0	46.85	1.1	224
2014-01-04_16:43:09_220143	-30.0	262.0	-202.0	14.57	1.2	224
2014-01-04_16:43:09_229960	276.0	118.0	-288.0	14.84	1.3	224
2014-01-04_16:43:09_240497	-60.0	30.0	-166.0	14.43	1.4	225
2014-01-04_16:43:09_251949	244.0	58.0	-334.0	15.94	1.5	225
2014-01-04_16:43:09_262222	-128.0	224.0	-248.0	14.16	1.6	226
2014-01-04_16:43:09_272227	-256.0	224.0	-314.0	14.23	1.7	226
2014-01-04_16:43:09_282028	306.0	24.0	-178.0	14.19	1.8	226
2014-01-04_16:43:09_291780	-256.0	194.0	-216.0	14.42	1.9	227
2014-01-04_16:43:09_301698	-192.0	326.0	-182.0	15.08	2.0	227
2014-01-04_16:43:09_311403	-136.0	232.0	-182.0	13.78	2.1	227
2014-01-04_16:43:09_321186	-258.0	230.0	-178.0	14.5	2.2	228
2014-01-04_16:43:09_330897	290.0	30.0	-134.0	13.67	2.3	228
2014-01-04_16:43:09_340833	8.0	202.0	-162.0	14.01	2.4	229
2014-01-04_16:43:09_350791	368.0	-88.0	-240.0	15.35	2.5	229
2014-01-04_16:43:09_360709	-272.0	310.0	-192.0	14.94	2.6	229
2014-01-04_16:43:09_370528	220.0	16.0	-204.0	14.26	2.7	230
2014-01-04_16:43:09_380318	-126.0	90.0	-224.0	14.38	2.8	230
2014-01-04_16:43:09_390158	70.0	48.0	-252.0	15.18	2.9	231
2014-01-04_16:43:09_399958	-56.0	246.0	-128.0	13.86	3.0	231
2014-01-04_16:43:09_409807	238.0	204.0	-256.0	15.13	3.1	231
2014-01-04_16:43:09_419630	144.0	124.0	-228.0	13.65	3.2	232
2014-01-04_16:43:09_430494	-26.0	362.0	-202.0	31.14	3.3	232
2014-01-04_16:43:09_440311	44.0	240.0	-220.0	13.79	3.4	232
2014-01-04_16:43:09_450192	-54.0	320.0	-194.0	14.42	3.5	233
2014-01-04_16:43:09_460042	16.0	146.0	-240.0	14.26	3.6	233
2014-01-04_16:43:09_469916	64.0	42.0	-290.0	14.28	3.7	234
2014-01-04_16:43:09_479740	120.0	162.0	-180.0	14.47	3.8	234
2014-01-04_16:43:09_489642	-38.0	196.0	-252.0	15.17	3.9	234
