datetime	x	y	z	d	speed	speed_real
2014-01-04_13:56:53_708092	0.0	98.0	-150.0	14.77	0.1	220
2014-01-04_13:56:53_718039	-52.0	176.0	-240.0	14.82	0.2	220
2014-01-04_13:56:53_727870	26.0	108.0	-162.0	14.59	0.3	221
2014-01-04_13:56:53_737645	94.0	274.0	-218.0	13.58	0.4	221
2014-01-04_13:56:53_747472	6.0	160.0	-210.0	13.95	0.5	221
2014-01-04_13:56:53_757238	94.0	60.0	-248.0	13.36	0.6	222
2014-01-04_13:56:53_767342	0.0	268.0	-238.0	15.03	0.7	222
2014-01-04_13:56:53_777317	6.0	72.0	-146.0	16.71	0.8	223
2014-01-04_13:56:53_787162	128.0	172.0	-220.0	13.96	0.9	223
2014-01-04_13:56:53_797425	152.0	0.0	-276.0	21.2	1.0	223
2014-01-04_13:56:53_807177	-10.0	214.0	-214.0	13.82	1.1	224
2014-01-04_13:56:53_816965	-58.0	302.0	-240.0	13.89	1.2	224
2014-01-04_13:56:53_826813	140.0	174.0	-194.0	14.45	1.3	224
2014-01-04_13:56:53_836683	60.0	174.0	-246.0	15.07	1.4	225
2014-01-04_13:56:53_846472	-152.0	282.0	-174.0	13.65	1.5	225
2014-01-04_13:56:53_856170	-144.0	176.0	-194.0	13.33	1.6	226
2014-01-04_13:56:53_866177	222.0	152.0	-278.0	13.93	1.7	226
2014-01-04_13:56:53_876023	128.0	116.0	-188.0	13.8	1.8	226
2014-01-04_13:56:53_885815	44.0	138.0	-162.0	13.79	1.9	227
2014-01-04_13:56:53_895580	200.0	-18.0	-226.0	13.91	2.0	227
2014-01-04_13:56:53_905366	140.0	72.0	-244.0	13.87	2.1	227
2014-01-04_13:56:53_915233	-148.0	98.0	-208.0	13.96	2.2	228
2014-01-04_13:56:53_925048	-100.0	186.0	-324.0	13.94	2.3	228
2014-01-04_13:56:53_934915	-26.0	160.0	-280.0	13.84	2.4	229
2014-01-04_13:56:53_944651	254.0	-22.0	-174.0	13.79	2.5	229
2014-01-04_13:56:53_954356	-248.0	222.0	-154.0	13.85	2.6	229
2014-01-04_13:56:53_964263	-64.0	280.0	-198.0	13.89	2.7	230
2014-01-04_13:56:53_974158	-128.0	168.0	-202.0	13.53	2.8	230
2014-01-04_13:56:53_984040	-120.0	0.0	-174.0	14.82	2.9	231
2014-01-04_13:56:53_993822	-122.0	230.0	-240.0	14.52	3.0	231
2014-01-04_13:56:54_003573	-42.0	110.0	-166.0	13.86	3.1	231
2014-01-04_13:56:54_013361	-62.0	202.0	-264.0	14.91	3.2	232
2014-01-04_13:56:54_023117	106.0	192.0	-242.0	13.82	3.3	232
2014-01-04_13:56:54_032863	-12.0	120.0	-228.0	13.5	3.4	232
2014-01-04_13:56:54_042678	108.0	134.0	-232.0	13.91	3.5	233
2014-01-04_13:56:54_052512	-146.0	210.0	-274.0	12.99	3.6	233
2014-01-04_13:56:54_062318	-144.0	320.0	-234.0	14.04	3.7	234
2014-01-04_13:56:54_072217	-26.0	134.0	-212.0	13.94	3.8	234
2014-01-04_13:56:54_082041	-122.0	244.0	-250.0	13.82	3.9	234
2014-01-04_13:56:54_091834	70.0	92.0	-256.0	13.01	4.0	235
2014-01-04_13:56:54_101646	126.0	-12.0	-212.0	13.92	4.1	235
2014-01-04_13:56:54_111454	66.0	80.0	-280.0	13.57	4.2	235
2014-01-04_13:56:54_121267	68.0	46.0	-284.0	13.29	4.3	236
2014-01-04_13:56:54_131105	86.0	238.0	-202.0	13.82	4.4	236
2014-01-04_13:56:54_140940	-62.0	176.0	-208.0	14.04	4.5	237
2014-01-04_13:56:54_150724	-58.0	222.0	-240.0	13.84	4.6	237
2014-01-04_13:56:54_160544	284.0	128.0	-98.0	13.77	4.7	237
2014-01-04_13:56:54_170366	-70.0	272.0	-248.0	13.28	4.8	238
2014-01-04_13:56:54_180388	84.0	152.0	-64.0	13.91	4.9	238
2014-01-04_13:56:54_190201	14.0	290.0	-320.0	13.87	5.0	239
2014-01-04_13:56:54_199936	36.0	254.0	-214.0	13.45	5.1	239
2014-01-04_13:56:54_210150	-56.0	196.0	-308.0	13.78	5.2	239
2014-01-04_13:56:54_219974	-216.0	318.0	-216.0	13.5	5.3	240
2014-01-04_13:56:54_229920	64.0	66.0	-178.0	13.69	5.4	240
2014-01-04_13:56:54_239749	14.0	256.0	-376.0	13.29	5.5	240
