datetime	x	y	z	d	speed	speed_real
2013-12-28_12:43:07_941791	26.0	160.0	-222.0	18.82	0.1	220
2013-12-28_12:43:07_952121	24.0	163.0	-221.0	18.79	0.2	220
2013-12-28_12:43:07_962200	27.0	158.0	-222.0	18.67	0.3	221
2013-12-28_12:43:07_972475	24.0	160.0	-225.0	18.83	0.4	221
2013-12-28_12:43:07_982779	24.0	163.0	-223.0	19.79	0.5	221
2013-12-28_12:43:07_992940	24.0	161.0	-222.0	18.97	0.6	222
2013-12-28_12:43:08_003040	24.0	159.0	-222.0	18.7	0.7	222
2013-12-28_12:43:08_013177	58.0	154.0	-242.0	18.72	0.8	223
2013-12-28_12:43:08_023327	36.0	159.0	-221.0	18.88	0.9	223
2013-12-28_12:43:08_033462	27.0	170.0	-219.0	18.79	1.0	223
2013-12-28_12:43:08_043555	36.0	168.0	-222.0	18.73	1.1	224
2013-12-28_12:43:08_053703	29.0	159.0	-223.0	18.85	1.2	224
2013-12-28_12:43:08_064891	-6.0	153.0	-216.0	18.9	1.3	224
2013-12-28_12:43:08_075010	69.0	176.0	-209.0	18.86	1.4	225
2013-12-28_12:43:08_085171	28.0	154.0	-234.0	18.99	1.5	225
2013-12-28_12:43:08_095372	2.0	152.0	-216.0	19.4	1.6	226
2013-12-28_12:43:08_105509	43.0	156.0	-224.0	18.9	1.7	226
2013-12-28_12:43:08_115608	35.0	152.0	-235.0	18.78	1.8	226
2013-12-28_12:43:08_125680	23.0	159.0	-225.0	18.48	1.9	227
2013-12-28_12:43:08_135793	51.0	160.0	-220.0	18.83	2.0	227
2013-12-28_12:43:08_145903	59.0	160.0	-209.0	18.51	2.1	227
2013-12-28_12:43:08_155943	10.0	151.0	-225.0	18.89	2.2	228
2013-12-28_12:43:08_166065	58.0	165.0	-231.0	18.73	2.3	228
2013-12-28_12:43:08_176159	25.0	156.0	-221.0	18.78	2.4	229
2013-12-28_12:43:08_186256	48.0	161.0	-217.0	18.75	2.5	229
2013-12-28_12:43:08_196339	46.0	157.0	-219.0	18.65	2.6	229
2013-12-28_12:43:08_206440	-11.0	156.0	-230.0	19.38	2.7	230
2013-12-28_12:43:08_216518	37.0	171.0	-218.0	18.58	2.8	230
2013-12-28_12:43:08_226651	66.0	171.0	-216.0	19.67	2.9	231
2013-12-28_12:43:08_236786	76.0	171.0	-224.0	19.81	3.0	231
2013-12-28_12:43:08_247006	71.0	155.0	-210.0	18.56	3.1	231
2013-12-28_12:43:08_257157	29.0	160.0	-218.0	19.57	3.2	232
2013-12-28_12:43:08_267324	-15.0	168.0	-215.0	20.21	3.3	232
2013-12-28_12:43:08_277528	32.0	155.0	-254.0	20.01	3.4	232
2013-12-28_12:43:08_287699	27.0	143.0	-233.0	19.99	3.5	233
2013-12-28_12:43:08_297864	37.0	161.0	-206.0	20.1	3.6	233
2013-12-28_12:43:08_308037	-15.0	161.0	-234.0	19.97	3.7	234
2013-12-28_12:43:08_318141	36.0	163.0	-258.0	18.75	3.8	234
2013-12-28_12:43:08_328220	46.0	156.0	-233.0	18.68	3.9	234
2013-12-28_12:43:08_338311	-32.0	141.0	-211.0	18.79	4.0	235
2013-12-28_12:43:08_348444	115.0	169.0	-242.0	19.19	4.1	235
2013-12-28_12:43:08_358471	70.0	146.0	-212.0	18.53	4.2	235
2013-12-28_12:43:08_368547	-21.0	178.0	-206.0	18.4	4.3	236
2013-12-28_12:43:08_378646	-49.0	156.0	-205.0	18.8	4.4	236
2013-12-28_12:43:08_388781	-169.0	114.0	-188.0	19.29	4.5	237
2013-12-28_12:43:08_399002	193.0	175.0	-243.0	18.33	4.6	237
2013-12-28_12:43:08_409142	-7.0	155.0	-216.0	19.06	4.7	237
2013-12-28_12:43:08_418984	-94.0	159.0	-223.0	14.48	4.8	238
2013-12-28_12:43:08_429084	116.0	116.0	-250.0	18.89	4.9	238
2013-12-28_12:43:08_439252	183.0	236.0	-191.0	18.21	5.0	239
2013-12-28_12:43:08_449128	24.0	180.0	-222.0	14.96	5.1	239
2013-12-28_12:43:08_459229	-17.0	153.0	-198.0	18.96	5.2	239
2013-12-28_12:43:08_469065	60.0	158.0	-256.0	14.55	5.3	240
2013-12-28_12:43:08_479257	1.0	132.0	-209.0	18.63	5.4	240
2013-12-28_12:43:08_489394	120.0	204.0	-231.0	18.79	5.5	240
2013-12-28_12:43:08_499526	-70.0	113.0	-141.0	18.89	5.6	241
2013-12-28_12:43:08_509677	189.0	222.0	-266.0	18.82	5.7	241
2013-12-28_12:43:08_519558	134.0	126.0	-153.0	14.99	5.8	242
2013-12-28_12:43:08_529732	97.0	192.0	-276.0	18.9	5.9	242
2013-12-28_12:43:08_539624	74.0	132.0	-118.0	15.06	6.0	242
2013-12-28_12:43:08_549781	114.0	139.0	-261.0	19.7	6.1	243
2013-12-28_12:43:08_559885	62.0	186.0	-315.0	18.89	6.2	243
2013-12-28_12:43:08_570003	19.0	164.0	-80.0	18.97	6.3	243
2013-12-28_12:43:08_579745	-5.0	184.0	-272.0	14.02	6.4	244
2013-12-28_12:43:08_589960	-82.0	130.0	-153.0	19.43	6.5	244
2013-12-28_12:43:08_599821	70.0	147.0	-251.0	14.3	6.6	245
2013-12-28_12:43:08_609922	-115.0	144.0	-147.0	18.68	6.7	245
2013-12-28_12:43:08_620007	58.0	115.0	-241.0	18.61	6.8	245
2013-12-28_12:43:08_630129	24.0	193.0	-247.0	18.43	6.9	246
2013-12-28_12:43:08_640178	34.0	113.0	-111.0	18.38	7.0	246
2013-12-28_12:43:08_650338	85.0	198.0	-275.0	19.2	7.1	246
2013-12-28_12:43:08_660447	11.0	148.0	-201.0	18.61	7.2	247
2013-12-28_12:43:08_670551	109.0	102.0	-287.0	18.6	7.3	247
2013-12-28_12:43:08_680356	-55.0	174.0	-297.0	13.55	7.4	248
2013-12-28_12:43:08_690446	6.0	97.0	-98.0	19.01	7.5	248
2013-12-28_12:43:08_700289	85.0	193.0	-291.0	14.55	7.6	248
2013-12-28_12:43:08_710397	-61.0	230.0	-132.0	18.07	7.7	249
2013-12-28_12:43:08_720488	18.0	208.0	-183.0	18.87	7.8	249
2013-12-28_12:43:08_730597	146.0	104.0	-182.0	19.14	7.9	250
2013-12-28_12:43:08_740448	22.0	223.0	-357.0	14.6	8.0	250
2013-12-28_12:43:08_750563	-91.0	147.0	-134.0	18.77	8.1	250
2013-12-28_12:43:08_760379	89.0	72.0	-186.0	14.32	8.2	251
2013-12-28_12:43:08_770441	74.0	209.0	-475.0	18.28	8.3	251
2013-12-28_12:43:08_780562	9.0	130.0	13.0	19.19	8.4	251
2013-12-28_12:43:08_790729	-12.0	69.0	-228.0	18.87	8.5	252
2013-12-28_12:43:08_800585	79.0	165.0	-448.0	14.45	8.6	252
2013-12-28_12:43:08_810707	-52.0	132.0	-7.0	18.94	8.7	253
2013-12-28_12:43:08_820796	11.0	71.0	-208.0	18.85	8.8	253
2013-12-28_12:43:08_831013	45.0	181.0	-499.0	19.73	8.9	253
2013-12-28_12:43:08_840867	-110.0	166.0	-34.0	14.67	9.0	254
2013-12-28_12:43:08_850994	-19.0	26.0	-93.0	19.28	9.1	254
2013-12-28_12:43:08_861111	149.0	196.0	-408.0	19.38	9.2	254
2013-12-28_12:43:08_871295	-37.0	224.0	-215.0	18.68	9.3	255
2013-12-28_12:43:08_881087	-72.0	265.0	-384.0	13.38	9.4	255
2013-12-28_12:43:08_891197	-177.0	64.0	-17.0	19.18	9.5	256
2013-12-28_12:43:08_901341	67.0	110.0	-255.0	19.14	9.6	256
2013-12-28_12:43:08_911242	110.0	197.0	-494.0	15.3	9.7	256
2013-12-28_12:43:08_921360	-71.0	149.0	35.0	19.28	9.8	257
2013-12-28_12:43:08_931438	-4.0	62.0	16.0	18.82	9.9	257
2013-12-28_12:43:08_941495	37.0	264.0	-511.0	18.24	10.0	257
2013-12-28_12:43:08_951620	-39.0	266.0	-471.0	19.19	10.1	258
2013-12-28_12:43:08_961722	-50.0	93.0	132.0	19.09	10.2	258
2013-12-28_12:43:08_971772	22.0	106.0	-151.0	18.45	10.3	259
2013-12-28_12:43:08_981940	68.0	244.0	-512.0	19.73	10.4	259
2013-12-28_12:43:08_991775	-212.0	215.0	-132.0	13.57	10.5	259
2013-12-28_12:43:09_002019	289.0	104.0	-10.0	15.96	10.6	260
2013-12-28_12:43:09_011884	-188.0	77.0	-190.0	14.81	10.7	260
2013-12-28_12:43:09_022027	313.0	294.0	-512.0	19.58	10.8	261
2013-12-28_12:43:09_032122	384.0	209.0	-512.0	19.13	10.9	261
2013-12-28_12:43:09_042012	382.0	188.0	-440.0	13.76	11.0	261
2013-12-28_12:43:09_052067	311.0	149.0	11.0	18.32	11.1	262
2013-12-28_12:43:09_062219	-178.0	75.0	40.0	19.58	11.2	262
2013-12-28_12:43:09_072450	78.0	89.0	-375.0	19.09	11.3	262
