datetime	x	y	z	d	speed	speed_real
2013-12-28_12:43:33_300745	24.0	163.0	-220.0	21.18	0.1	220
2013-12-28_12:43:33_311149	27.0	161.0	-221.0	21.02	0.2	220
2013-12-28_12:43:33_321446	24.0	160.0	-219.0	21.03	0.3	221
2013-12-28_12:43:33_331612	26.0	162.0	-221.0	20.74	0.4	221
2013-12-28_12:43:33_341841	27.0	161.0	-221.0	20.93	0.5	221
2013-12-28_12:43:33_352091	24.0	162.0	-222.0	21.28	0.6	222
2013-12-28_12:43:33_362261	24.0	161.0	-222.0	19.87	0.7	222
2013-12-28_12:43:33_372652	29.0	148.0	-226.0	20.31	0.8	223
2013-12-28_12:43:33_382931	21.0	161.0	-218.0	21.37	0.9	223
2013-12-28_12:43:33_393293	23.0	165.0	-225.0	20.95	1.0	223
2013-12-28_12:43:33_403545	20.0	163.0	-219.0	20.98	1.1	224
2013-12-28_12:43:33_413793	17.0	160.0	-222.0	21.22	1.2	224
2013-12-28_12:43:33_424099	40.0	161.0	-219.0	20.79	1.3	224
2013-12-28_12:43:33_434374	-5.0	166.0	-209.0	20.47	1.4	225
2013-12-28_12:43:33_444621	19.0	156.0	-222.0	21.13	1.5	225
2013-12-28_12:43:33_454881	21.0	159.0	-221.0	21.29	1.6	226
2013-12-28_12:43:33_465197	96.0	160.0	-215.0	21.25	1.7	226
2013-12-28_12:43:33_475433	16.0	161.0	-227.0	20.82	1.8	226
2013-12-28_12:43:33_485640	134.0	193.0	-228.0	20.84	1.9	227
2013-12-28_12:43:33_495863	58.0	163.0	-223.0	20.77	2.0	227
2013-12-28_12:43:33_506139	13.0	151.0	-221.0	20.78	2.1	227
2013-12-28_12:43:33_516421	23.0	161.0	-220.0	21.45	2.2	228
2013-12-28_12:43:33_526638	33.0	166.0	-224.0	20.94	2.3	228
2013-12-28_12:43:33_536888	23.0	163.0	-229.0	21.33	2.4	229
2013-12-28_12:43:33_547128	17.0	155.0	-254.0	20.91	2.5	229
2013-12-28_12:43:33_557328	55.0	171.0	-225.0	21.28	2.6	229
2013-12-28_12:43:33_567624	54.0	166.0	-224.0	21.47	2.7	230
2013-12-28_12:43:33_577848	47.0	165.0	-225.0	20.82	2.8	230
2013-12-28_12:43:33_587995	10.0	158.0	-227.0	19.23	2.9	231
2013-12-28_12:43:33_598227	5.0	167.0	-222.0	20.62	3.0	231
2013-12-28_12:43:33_608488	64.0	166.0	-220.0	20.7	3.1	231
2013-12-28_12:43:33_618730	48.0	159.0	-213.0	21.0	3.2	232
2013-12-28_12:43:33_628955	33.0	153.0	-213.0	20.98	3.3	232
2013-12-28_12:43:33_639035	-24.0	147.0	-208.0	19.29	3.4	232
2013-12-28_12:43:33_648916	100.0	155.0	-211.0	14.64	3.5	233
2013-12-28_12:43:33_659050	69.0	180.0	-243.0	19.07	3.6	233
2013-12-28_12:43:33_669177	41.0	159.0	-247.0	19.09	3.7	234
2013-12-28_12:43:33_679306	52.0	142.0	-190.0	19.36	3.8	234
2013-12-28_12:43:33_689323	10.0	189.0	-190.0	14.74	3.9	234
2013-12-28_12:43:33_699507	43.0	148.0	-261.0	19.96	4.0	235
2013-12-28_12:43:33_709376	-28.0	169.0	-195.0	15.01	4.1	235
