datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pitch_offset_force	dt	Motor0	Motor1
2014-04-20_16:43:13_831684	1041142.0	-81.0	25.0	-211.0	-0.6223282442748097	-68.21660305343511	1.545229007633588	-0.6456835937500001	1.2937109375	-0.54736328125	0.0	0.0	0	0	0	0	0.5	0	0.0	0	0	0	0	0.0005	0	0.0	0	0	220	220
2014-04-20_16:43:13_874180	1083262.0	-125.0	55.0	-193.0	-3.126145038167939	-77.6517175572519	1.476526717557252	-0.5563281250000001	0.40796875	-1.001953125	0.0	32.93	2.8550708845389328	-2.8550708845389328	-129.389219503005	-77.6517175572519	0.5	0	0.0	-1.4275354422694664	76.22418211498243	3454.410706410606	76.22418211498243	0.0005	0	0.0	0.038112091057491214	45.319091796875	242	241
2014-04-20_16:43:13_923744	1132826.0	-98.0	16.0	-241.0	1.1944656488549614	-84.90362595419846	4.888740458015267	-0.5692675781250001	0.30982421875	-1.201904296875	0.0	22.13	7.386367493668832	-7.386367493668832	-497.4218324620848	-84.90362595419846	0.5	0	0.0	-3.693183746834416	81.21044220736404	7500.7963311113635	4.986260092381613	0.0005	0	0.0	0.04060522110368202	49.825927734375	242	241
2014-04-20_16:43:13_974194	1183272.0	-197.0	-23.0	-179.0	-5.996374045801527	-83.08683206106869	-1.6608778625954197	-0.5389941406250001	-0.8137109375	-0.86962890625	0.0	47.74	12.268458706865998	-12.268458706865998	-1111.3988852030336	-83.08683206106869	0.5	0	0.0	-6.134229353432999	76.95260270763569	11351.902108949425	-4.257839499728348	0.0005	0	0.0	0.03847630135381785	50.045166015625	242	241
2014-04-20_16:43:14_024137	1233444.0	-147.0	-140.0	-263.0	28.91965648854962	110.37118320610688	7.17881679389313	0.8413769531249999	-1.5334375	1.760498046875	0.0	29.2	7.217397743679386	-7.217397743679386	-1471.04061656978	110.37118320610688	0.5	0	0.0	-3.608698871839693	-113.97988207794657	5672.303507446708	-190.93248478558226	0.0005	0	0.0	-0.056989941038973285	49.829833984375	242	241
2014-04-20_16:43:14_074623	1283703.0	-115.0	29.0	-225.0	0.5761450381679385	22.65362595419847	6.308587786259542	-0.5477832031250001	-0.74046875	-1.4150390625	0.0	27.07	6.503170271132844	-6.503170271132844	-1796.5897013878232	22.65362595419847	0.5	0	0.0	-3.251585135566422	-25.905211089764894	4375.487122409615	88.07467098818168	0.0005	0	0.0	-0.012952605544882447	50.06005859375	242	241
2014-04-20_16:43:14_124506	1333642.0	-165.0	-3.0	-193.0	4.675381679389313	5.760496183206106	5.621564885496183	-0.7389453125000001	-0.596669921875	-0.785400390625	0.0	40.53	6.9012005484157415	-6.9012005484157415	-2141.966483130657	5.760496183206106	0.5	0	0.0	-3.4506002742078707	-9.211096457413976	3914.509524603859	16.694114632350917	0.0005	0	0.0	-0.004605548228706988	50.0458984375	242	241
2014-04-20_16:43:14_174657	1383737.0	-212.0	91.0	-162.0	0.5914122137404574	-5.758587786259543	4.033778625954199	-0.6339648437500001	-0.2687890625	-0.560302734375	0.0	52.62	8.097752158164786	-8.097752158164786	-2546.9015388054477	-5.758587786259543	0.5	0	0.0	-4.048876079082393	1.7097117071771502	4000.005127804751	10.920808164591126	0.0005	0	0.0	0.0008548558535885751	50.005859375	242	241
2014-04-20_16:43:14_224821	1433904.0	-143.0	-6.0	-185.0	-1.2101145038167944	-13.911259541984734	-2.019656488549618	-0.9127734375000001	-0.240712890625	-0.5263671875	0.0	37.71	9.372161234245741	-9.372161234245741	-3015.9191749466727	-13.911259541984734	0.5	0	0.0	-4.686080617122871	9.225178924861863	4461.667225177617	7.515467217684713	0.0005	0	0.0	0.0046125894624309315	50.043701171875	242	241
2014-04-20_16:43:14_275080	1484153.0	-149.0	47.0	-191.0	-0.5001908396946568	-1.4914122137404586	0.743702290076336	-0.9747851562500001	0.213388671875	-1.002197265625	0.0	37.96	10.01699057853128	-10.01699057853128	-3516.6195250584688	-1.4914122137404586	0.5	0	0.0	-5.00849528926564	-3.517083075525181	4285.865449835833	-12.742262000387043	0.0005	0	0.0	-0.0017585415377625907	49.985107421875	242	241
